gallery_idx,album_label,nn_distance,album_image_count
0,580,0.802642,3
1,254,0.371792,11
2,619,0.808244,2
3,780,0.528294,3
4,490,0.921754,3
5,707,0.890325,12
6,217,0.51552,4
7,48,0.890325,9
8,546,0.701451,2
9,669,0.344106,4
10,41,0.47332,2
11,93,0.554543,2
12,816,0.329731,6
13,605,0.592017,2
14,520,0.825152,6
15,453,0.535657,4
16,620,0.654343,4
17,216,0.536915,2
18,826,0.646278,2
19,49,0.285433,2
20,300,0.703467,4
21,301,0.505805,3
22,148,0.766777,2
23,71,0.449491,3
24,106,0.557504,11
25,637,0.481435,2
26,367,0.168788,2
27,674,0.624841,8
28,155,0.468679,3
29,91,0.606925,7
30,37,0.652657,5
31,344,0.541383,2
32,513,0.519504,3
33,806,0.519669,5
34,747,0.614084,2
35,17,0.55266,4
36,489,0.706476,3
37,828,0.578206,4
38,584,0.528011,2
39,436,0.484067,3
40,441,0.519242,7
41,597,0.33627,3
42,600,0.622676,2
43,193,0.506739,4
44,486,0.663985,3
45,678,0.587867,2
46,134,0.619918,5
47,147,0.776261,3
48,784,0.68141,2
49,607,0.667608,3
50,455,0.776261,2
51,6,0.422005,16
52,30,0.472877,2
53,339,0.603045,2
54,123,0.595657,6
55,645,0.881995,2
56,271,0.401325,8
57,462,0.399411,13
58,250,0.563948,5
59,82,0.605754,2
60,575,0.398801,2
61,174,0.334124,12
62,376,0.390635,5
63,69,0.576671,2
64,60,0.422897,2
65,447,0.507649,3
66,270,0.538582,4
67,117,0.669089,3
68,212,0.616425,6
69,576,0.580933,29
70,9,0.574629,16
71,719,0.547003,18
72,660,0.555451,16
73,368,0.445196,27
74,371,0.692722,20
75,510,0.611839,2
76,508,0.612463,4
77,189,0.555451,2
78,476,0.668471,5
79,523,0.556378,2
80,565,0.463273,2
81,421,0.484411,8
82,99,0.556371,21
83,567,0.692061,3
84,465,0.32553,7
85,616,0.7065,2
86,739,0.505398,6
87,426,0.7065,8
88,680,0.38656,2
89,526,0.777995,8
90,417,0.605911,2
91,618,0.81913,3
92,351,0.838514,4
93,494,0.563233,9
94,111,0.385234,2
95,102,0.726508,2
