query_idx,query_label,top1_label,top1_score,correct
0,580,645,0.753335,False
1,580,587,0.649208,False
2,254,254,0.930643,True
3,254,254,0.915656,True
4,254,254,0.904981,True
5,254,254,0.904972,True
6,254,254,0.941757,True
7,254,254,0.908126,True
8,254,254,0.89377,True
9,254,254,0.910524,True
10,254,254,0.893427,True
11,254,254,0.911039,True
12,619,141,0.561891,False
13,780,701,0.621316,False
14,780,780,0.959537,True
15,490,490,0.943328,True
16,490,645,0.761179,False
17,707,93,0.963745,False
18,707,514,0.763209,False
19,707,645,0.578409,False
20,707,707,0.793438,True
21,707,349,0.785634,False
22,707,514,0.775974,False
23,707,754,0.593158,False
24,707,580,0.753257,False
25,707,520,0.790082,False
26,707,754,0.616626,False
27,707,520,0.760438,False
28,217,217,0.944858,True
29,217,217,0.972877,True
30,217,217,0.96334,True
31,48,754,0.527493,False
32,48,619,0.517515,False
33,48,645,0.55776,False
34,48,707,0.902867,False
35,48,619,0.807526,False
36,48,619,0.530813,False
37,48,707,0.828021,False
38,48,695,0.674306,False
39,546,546,0.907879,True
40,669,669,0.977307,True
41,669,91,0.389763,False
42,669,669,0.944918,True
43,41,41,0.89543,True
44,93,408,0.49302,False
45,816,816,0.901343,True
46,816,816,0.819096,True
47,816,816,0.933907,True
48,816,816,0.898912,True
49,816,816,0.882565,True
50,605,605,0.873922,True
51,520,619,0.645298,False
52,520,520,0.841714,True
53,520,93,0.911984,False
54,520,619,0.59038,False
55,520,619,0.652249,False
56,453,853,0.420242,False
57,453,453,0.768104,True
58,453,453,0.895222,True
59,620,620,0.936918,True
60,620,620,0.939976,True
61,620,620,0.939614,True
62,216,216,0.999935,True
63,826,826,1.000044,True
64,49,49,0.953011,True
65,300,300,0.938225,True
66,300,300,0.966356,True
67,300,300,0.962908,True
68,301,301,0.957773,True
69,301,301,0.934854,True
70,148,148,0.839868,True
71,71,71,0.914414,True
72,71,71,0.910364,True
73,106,526,0.62686,False
74,106,106,0.958574,True
75,106,106,0.916685,True
76,106,106,0.94184,True
77,106,25,0.334657,False
78,106,562,0.462967,False
79,106,562,0.646439,False
80,106,577,0.584007,False
81,106,106,0.814608,True
82,106,562,0.642163,False
83,637,285,0.639991,False
84,367,268,0.262094,False
85,674,674,0.861456,True
86,674,674,0.859958,True
87,674,674,0.861456,True
88,674,674,0.942876,True
89,674,674,0.797727,True
90,674,674,0.806903,True
91,674,674,0.87728,True
92,155,155,0.925653,True
93,155,155,0.849584,True
94,91,91,0.868264,True
95,91,91,0.771539,True
96,91,91,0.914189,True
97,91,91,0.953123,True
98,91,91,0.92233,True
99,91,91,0.915421,True
100,37,37,0.795831,True
101,37,37,1.000015,True
102,37,37,0.94461,True
103,37,37,0.940422,True
104,344,344,0.561657,True
105,513,513,0.955491,True
106,513,513,0.980799,True
107,806,806,0.932406,True
108,806,806,0.968992,True
109,806,806,0.956784,True
110,806,806,0.966475,True
111,747,455,0.63966,False
112,17,106,0.657372,False
113,17,17,0.806928,True
114,17,747,0.671779,False
115,489,489,0.876033,True
116,489,489,0.89099,True
117,828,828,0.911944,True
118,828,828,0.941135,True
119,828,828,0.968383,True
120,584,584,0.833165,True
121,436,436,0.784675,True
122,436,436,0.798035,True
123,441,441,0.958555,True
124,441,515,0.496582,False
125,441,582,0.58362,False
126,441,747,0.686597,False
127,441,441,0.961656,True
128,441,515,0.635577,False
129,597,597,0.906972,True
130,597,597,0.935664,True
131,600,600,0.877197,True
132,193,193,0.975583,True
133,193,193,0.98161,True
134,193,193,0.98161,True
135,486,486,0.941943,True
136,486,486,0.968018,True
137,678,803,0.528179,False
138,134,772,0.674621,False
139,134,581,0.611201,False
140,134,134,0.95631,True
141,134,581,0.646228,False
142,147,147,0.9581,True
143,147,147,0.979741,True
144,784,784,0.97599,True
145,607,607,0.867966,True
146,607,607,0.858341,True
147,455,489,0.61777,False
148,6,6,0.945094,True
149,6,6,0.649532,True
150,6,6,0.856139,True
151,6,6,0.879907,True
152,6,6,0.893625,True
153,6,6,0.849045,True
154,6,6,0.821819,True
155,6,6,0.999688,True
156,6,6,0.981933,True
157,6,6,0.995693,True
158,6,6,0.964443,True
159,6,6,0.999604,True
160,6,6,0.99692,True
161,6,6,0.916257,True
162,6,6,1.000034,True
163,30,30,0.926666,True
164,339,416,0.50343,False
165,123,117,0.813342,False
166,123,223,0.584491,False
167,123,123,0.927565,True
168,123,414,0.603146,False
169,123,463,0.565175,False
170,645,490,0.938874,False
171,271,271,0.736291,True
172,271,271,0.801329,True
173,271,271,0.709175,True
174,271,271,0.725734,True
175,271,271,0.550725,True
176,271,271,0.748212,True
177,271,271,0.859386,True
178,462,462,0.950265,True
179,462,462,0.948593,True
180,462,462,0.953681,True
181,462,462,0.966207,True
182,462,462,0.942064,True
183,462,462,0.969956,True
184,462,462,0.750732,True
185,462,462,0.892523,True
186,462,462,0.951514,True
187,462,462,0.921533,True
188,462,462,0.923169,True
189,462,462,0.945276,True
190,250,250,0.926817,True
191,250,250,0.901987,True
192,250,250,0.911429,True
193,250,250,0.939386,True
194,82,82,0.962893,True
195,575,575,0.939383,True
196,174,174,0.748843,True
197,174,174,0.953069,True
198,174,174,0.924628,True
199,174,174,0.96572,True
200,174,174,0.878191,True
201,174,174,0.941717,True
202,174,174,0.94084,True
203,174,174,0.938196,True
204,174,174,0.950161,True
205,174,174,0.928335,True
206,174,174,0.9446,True
207,376,376,0.895523,True
208,376,376,0.940935,True
209,376,376,0.999944,True
210,376,376,0.999944,True
211,69,69,1.000004,True
212,60,60,0.868453,True
213,447,447,0.95428,True
214,447,447,0.95428,True
215,270,285,0.545748,False
216,270,117,0.811692,False
217,270,117,0.70181,False
218,117,117,0.960179,True
219,117,117,0.887411,True
220,212,212,0.891206,True
221,212,212,0.860461,True
222,212,212,0.846094,True
223,212,212,0.902137,True
224,212,212,0.885718,True
225,576,656,0.606018,False
226,576,576,0.845239,True
227,576,576,0.834208,True
228,576,576,0.869971,True
229,576,576,0.825412,True
230,576,576,0.821144,True
231,576,576,0.815922,True
232,576,576,0.834208,True
233,576,576,0.823883,True
234,576,576,0.855187,True
235,576,576,0.864433,True
236,576,576,0.825127,True
237,576,576,0.869991,True
238,576,576,0.851418,True
239,576,576,0.859599,True
240,576,576,0.9137,True
241,576,576,0.827358,True
242,576,576,0.846069,True
243,576,576,0.816098,True
244,576,576,0.828809,True
245,576,576,0.824945,True
246,576,576,0.834208,True
247,576,576,0.9137,True
248,576,576,0.820487,True
249,576,576,0.849831,True
250,576,576,0.751548,True
251,576,576,0.838531,True
252,576,576,0.855926,True
253,9,9,0.962634,True
254,9,9,0.955111,True
255,9,715,0.507644,False
256,9,9,0.945252,True
257,9,9,0.954497,True
258,9,675,0.532386,False
259,9,9,0.95221,True
260,9,9,0.960345,True
261,9,9,0.926871,True
262,9,9,0.946042,True
263,9,460,0.301362,False
264,9,9,0.945587,True
265,9,9,0.948697,True
266,9,9,0.939961,True
267,9,9,0.951308,True
268,719,719,0.948452,True
269,719,719,0.913939,True
270,719,719,0.941366,True
271,719,719,0.938491,True
272,719,719,0.936582,True
273,719,719,0.938797,True
274,719,719,0.928032,True
275,719,719,0.937514,True
276,719,719,0.916105,True
277,719,719,0.935256,True
278,719,719,0.939064,True
279,719,719,0.942971,True
280,719,719,0.922847,True
281,719,719,0.927676,True
282,719,719,0.924199,True
283,719,719,0.951786,True
284,719,719,0.955601,True
285,660,660,0.9728,True
286,660,660,0.846387,True
287,660,660,0.946231,True
288,660,660,0.949682,True
289,660,660,0.949682,True
290,660,660,0.953428,True
291,660,660,0.951634,True
292,660,660,0.929772,True
293,660,660,0.953315,True
294,660,660,0.930103,True
295,660,660,0.949675,True
296,660,660,0.935092,True
297,660,660,0.955173,True
298,660,660,0.913361,True
299,660,660,0.940416,True
300,368,368,0.954848,True
301,368,368,0.944267,True
302,368,368,0.969349,True
303,368,368,0.91932,True
304,368,368,0.946575,True
305,368,368,0.946668,True
306,368,368,0.945704,True
307,368,368,0.92876,True
308,368,99,0.967918,False
309,368,368,0.937874,True
310,368,368,0.942656,True
311,368,368,0.956955,True
312,368,368,0.923994,True
313,368,368,0.934973,True
314,368,368,0.931551,True
315,368,368,0.918893,True
316,368,368,0.940547,True
317,368,368,0.945691,True
318,368,368,0.94215,True
319,368,368,0.942684,True
320,368,368,0.950932,True
321,368,368,0.96602,True
322,368,368,0.92876,True
323,368,368,0.92154,True
324,368,368,0.930286,True
325,368,368,0.911869,True
326,371,371,0.916092,True
327,371,371,0.889068,True
328,371,371,0.867486,True
329,371,371,0.999035,True
330,371,371,0.962618,True
331,371,371,0.936253,True
332,371,371,0.903038,True
333,371,371,0.916468,True
334,371,371,0.934281,True
335,371,371,0.951586,True
336,371,371,0.923276,True
337,371,371,0.939164,True
338,371,371,0.953385,True
339,371,371,0.936082,True
340,371,371,0.940458,True
341,371,371,0.881325,True
342,371,371,0.934865,True
343,371,371,0.925428,True
344,371,371,0.981349,True
345,510,510,0.999632,True
346,508,508,0.872908,True
347,508,508,0.959314,True
348,508,508,0.959314,True
349,189,189,0.960315,True
350,476,476,0.931774,True
351,476,476,0.923481,True
352,476,476,0.98871,True
353,476,476,0.926624,True
354,523,523,0.94544,True
355,565,565,0.95608,True
356,421,421,0.907464,True
357,421,421,0.814206,True
358,421,421,0.896261,True
359,421,421,0.892961,True
360,421,478,0.539233,False
361,421,421,0.896261,True
362,421,421,0.908914,True
363,99,99,0.921815,True
364,99,99,0.910837,True
365,99,99,0.947502,True
366,99,99,0.964582,True
367,99,99,0.953677,True
368,99,99,0.949974,True
369,99,99,0.94179,True
370,99,99,0.926789,True
371,99,99,0.914788,True
372,99,99,0.955462,True
373,99,99,0.955554,True
374,99,99,0.965849,True
375,99,99,0.917573,True
376,99,99,0.949828,True
377,99,99,0.967918,True
378,99,99,0.96743,True
379,99,99,0.931176,True
380,99,99,0.96689,True
381,99,99,0.976886,True
382,99,99,0.955554,True
383,567,497,0.878372,False
384,567,497,0.865876,False
385,465,465,0.907845,True
386,465,465,0.930342,True
387,465,465,0.948559,True
388,465,465,0.939855,True
389,465,465,0.897868,True
390,465,465,0.929258,True
391,616,616,0.966534,True
392,739,192,0.860845,False
393,739,192,0.860845,False
394,739,739,0.878708,True
395,739,192,0.599524,False
396,739,497,0.723793,False
397,426,426,0.945951,True
398,426,426,0.955178,True
399,426,426,0.963663,True
400,426,426,0.948668,True
401,426,426,0.948668,True
402,426,426,0.975592,True
403,426,426,0.935274,True
404,680,680,0.995728,True
405,526,526,0.886772,True
406,526,526,0.889015,True
407,526,526,0.909577,True
408,526,526,0.912359,True
409,526,526,0.903017,True
410,526,526,0.856708,True
411,526,526,0.845061,True
412,417,417,0.966973,True
413,618,618,0.924066,True
414,618,618,0.922465,True
415,351,351,0.924877,True
416,351,351,0.968722,True
417,351,351,0.971925,True
418,494,494,0.899397,True
419,494,494,0.905657,True
420,494,494,0.902448,True
421,494,494,0.90914,True
422,494,494,0.911172,True
423,494,494,0.902529,True
424,494,494,0.913845,True
425,494,494,0.900765,True
426,111,318,0.321578,False
427,102,102,0.93767,True
428,651,651,0.932169,True
429,192,57,0.749464,False
430,527,526,0.656851,False
431,527,527,0.535249,True
