gallery_idx,album_label,nn_distance,album_image_count
0,580,0.834936,3
1,254,0.44396,11
2,619,0.834936,2
3,780,0.629477,3
4,490,0.898271,3
5,707,0.884983,12
6,217,0.662403,4
7,48,0.894179,9
8,546,0.74815,2
9,669,0.363528,4
10,41,0.537485,2
11,93,0.619046,2
12,816,0.378071,6
13,605,0.593504,2
14,520,0.768929,6
15,453,0.578635,4
16,620,0.701765,4
17,216,0.589703,2
18,826,0.67569,2
19,49,0.33055,2
20,300,0.691192,4
21,301,0.514895,3
22,148,0.737543,2
23,71,0.55537,3
24,106,0.646465,11
25,637,0.554204,2
26,367,0.212672,2
27,674,0.594467,8
28,155,0.530858,3
29,91,0.574956,7
30,37,0.669747,5
31,344,0.623783,2
32,513,0.450661,3
33,806,0.557498,5
34,747,0.685714,2
35,17,0.568484,4
36,489,0.607505,3
37,828,0.59757,4
38,584,0.630051,2
39,436,0.48056,3
40,441,0.560255,7
41,597,0.36418,3
42,600,0.68563,2
43,193,0.466079,4
44,486,0.661904,3
45,678,0.617344,2
46,134,0.578774,5
47,147,0.710867,3
48,784,0.697874,2
49,607,0.697874,3
50,455,0.710867,2
51,6,0.414584,16
52,30,0.518909,2
53,339,0.689312,2
54,123,0.650856,6
55,645,0.858176,2
56,271,0.453901,8
57,462,0.349338,13
58,250,0.579012,5
59,82,0.666288,2
60,575,0.481844,2
61,174,0.30883,12
62,376,0.393663,5
63,69,0.577329,2
64,60,0.495065,2
65,447,0.610388,3
66,270,0.591282,4
67,117,0.647518,3
68,212,0.625305,6
69,576,0.698957,29
70,9,0.602716,16
71,719,0.628751,18
72,660,0.589934,16
73,368,0.51093,27
74,371,0.702408,20
75,510,0.651781,2
76,508,0.629894,4
77,189,0.588982,2
78,476,0.69969,5
79,523,0.492692,2
80,565,0.507497,2
81,421,0.561274,8
82,99,0.533802,21
83,567,0.648608,3
84,465,0.415971,7
85,616,0.713104,2
86,739,0.60367,6
87,426,0.713104,8
88,680,0.353329,2
89,526,0.742357,8
90,417,0.643798,2
91,618,0.74199,3
92,351,0.810282,4
93,494,0.610168,9
94,111,0.425108,2
95,102,0.627404,2
96,651,0.568713,2
97,192,0.74199,2
98,527,0.693322,3
99,57,0.810282,2
100,734,0.792297,2
101,86,0.621812,4
102,809,0.714181,3
103,146,0.463279,2
104,799,0.57964,12
105,316,0.60864,6
106,636,0.643374,7
107,159,0.67142,5
108,712,0.67142,6
109,248,0.693072,3
110,393,0.44953,2
111,108,0.693072,2
112,768,0.679521,2
113,449,0.656327,2
114,199,0.423417,5
115,125,0.700739,3
116,182,0.620425,3
117,652,0.534976,3
118,233,0.688877,3
119,851,0.72021,2
120,43,0.524557,21
121,225,0.650383,2
122,188,0.559144,8
123,746,0.516898,2
124,440,0.586398,2
125,323,0.583232,4
126,715,0.669936,3
127,109,0.571524,2
128,139,0.502203,3
129,7,0.731975,17
130,655,0.752979,2
131,337,0.55129,8
132,517,0.596757,2
133,352,0.625194,3
134,152,0.762587,21
135,571,0.509494,12
136,480,0.546497,18
137,201,0.72207,4
138,112,0.547641,2
139,738,0.567315,21
140,356,0.572832,2
141,617,0.483896,2
142,435,0.756312,6
143,805,0.602389,2
144,434,0.580151,2
145,305,0.500949,7
146,284,0.617233,14
147,540,0.684527,2
148,399,0.668971,7
149,463,0.761771,12
150,118,0.503266,2
151,306,0.467323,5
152,726,0.399999,10
153,205,0.775037,12
154,97,0.499721,4
155,247,0.580808,2
156,158,0.578881,5
157,446,0.772055,9
158,285,0.775037,2
159,668,0.341545,14
160,280,0.598111,20
161,613,0.330289,12
162,548,0.476602,7
163,664,0.646265,2
164,852,0.86842,6
165,703,0.86842,3
166,731,0.520343,5
167,197,0.36196,3
168,694,0.772055,3
169,609,0.752155,2
170,348,0.501982,41
171,35,0.42167,2
172,641,0.446001,18
173,128,0.501941,30
174,689,0.580232,7
175,357,0.467554,16
176,424,0.689629,16
177,327,0.370419,8
178,377,0.680338,2
179,172,0.563103,3
180,195,0.731103,2
181,232,0.705865,2
182,21,0.653608,2
183,537,0.670616,3
184,438,0.632771,14
185,472,0.433212,11
186,582,0.670407,3
187,634,0.521917,17
188,530,0.612578,2
189,735,0.382454,38
190,481,0.579939,14
191,219,0.511989,14
192,533,0.81393,4
193,593,0.424743,4
194,53,0.511989,2
195,497,0.874485,2
196,124,0.52782,20
197,475,0.64699,2
198,167,0.554777,5
199,534,0.602311,5
200,272,0.695239,6
201,415,0.509931,2
202,420,0.648555,3
203,308,0.535603,2
204,555,0.386,7
205,559,0.401302,2
206,603,0.669039,2
207,260,0.574797,2
208,315,0.64699,2
209,87,0.693715,2
210,135,0.569385,2
211,304,0.854998,2
212,763,0.854998,2
213,827,0.668731,2
214,778,0.348534,13
215,507,0.302917,7
216,252,0.630148,3
217,264,0.500995,5
218,67,0.533251,10
219,326,0.659974,6
220,522,0.758019,7
221,68,0.618472,7
222,649,0.586281,6
223,825,0.46361,6
224,504,0.545489,5
225,66,0.663945,21
226,355,0.420278,5
227,169,0.749141,9
228,451,0.399286,5
229,776,0.526327,8
230,228,0.631434,17
231,73,0.638164,3
232,404,0.324222,3
233,206,0.551856,8
234,549,0.501982,3
235,422,0.460504,10
236,531,0.485538,4
237,542,0.838766,2
238,752,0.474787,12
239,394,0.460504,2
240,78,0.310755,2
241,191,0.838766,12
242,501,0.41437,2
243,101,0.678658,5
244,244,0.710788,5
245,503,0.54881,2
246,162,0.324943,2
247,783,0.500995,9
248,329,0.617233,19
249,696,0.683764,9
250,710,0.607252,2
251,657,0.424743,2
252,756,0.307327,8
253,389,0.431312,2
254,11,0.463295,3
255,412,0.54604,3
256,830,0.730845,8
257,22,0.567067,7
258,142,0.666034,3
259,38,0.407032,2
260,390,0.751097,8
261,667,0.758019,10
262,518,0.359395,10
263,813,0.623768,2
264,470,0.532427,2
265,411,0.67267,2
266,90,0.749128,2
267,516,0.534002,6
268,223,0.662403,5
269,46,0.913374,2
270,310,0.912329,4
271,171,0.913374,3
272,410,0.407055,2
273,592,0.358386,4
274,442,0.688315,2
275,671,0.699499,23
276,274,0.699499,4
277,181,0.606051,4
278,278,0.683777,10
279,684,0.683777,8
280,239,0.316347,5
281,190,0.472418,3
282,831,0.332673,12
283,625,0.410742,4
284,151,0.510362,3
285,273,0.492289,3
286,627,0.739509,13
287,59,0.670208,2
288,407,0.641663,2
289,353,0.563825,5
290,19,0.395503,18
291,214,0.533337,3
292,36,0.686623,4
293,267,0.504619,2
294,553,0.516676,14
295,289,0.544971,24
296,34,0.536532,3
297,75,0.703571,2
298,133,0.666034,2
299,770,0.622322,9
300,365,0.683547,12
301,628,0.569867,13
302,772,0.728738,2
303,670,0.557004,4
304,850,0.631151,3
305,485,0.691103,5
306,256,0.634501,2
307,439,0.672353,2
308,646,0.444519,4
309,691,0.900049,2
310,626,0.900049,2
311,699,0.516354,3
312,342,0.322538,4
313,363,0.650388,20
314,185,0.643817,2
315,416,0.625213,3
316,732,0.534014,2
317,354,0.773088,15
318,144,0.592007,6
319,677,0.600186,6
320,221,0.743363,5
321,395,0.587255,2
322,795,0.536497,2
323,64,0.773088,3
324,366,0.881941,2
325,314,0.61119,5
326,793,0.74595,12
327,666,0.726985,4
328,429,0.726985,5
329,100,0.55537,2
330,336,0.461298,9
331,550,0.6755,4
332,437,0.527287,8
333,521,0.541268,5
334,612,0.494075,2
335,448,0.588437,5
336,495,0.563351,15
337,154,0.632112,3
338,849,0.632112,2
339,743,0.645229,3
340,160,0.494966,2
341,679,0.592825,8
342,456,0.55046,4
343,84,0.449937,5
344,321,0.494966,3
345,644,0.54014,2
346,423,0.345352,6
347,52,0.682633,30
348,207,0.617569,14
349,681,0.611066,5
350,661,0.47932,9
351,430,0.650421,2
352,777,0.587536,12
353,786,0.761874,7
354,833,0.567345,9
355,303,0.761874,2
356,591,0.728536,14
357,755,0.553695,7
358,804,0.5573,11
359,33,0.682091,3
360,714,0.745081,26
361,535,0.59261,17
362,598,0.728738,9
363,662,0.619205,2
364,443,0.619205,3
365,473,0.542016,2
366,397,0.401694,2
367,639,0.488177,3
368,515,0.417619,4
369,698,0.581656,3
370,769,0.507043,4
371,563,0.324799,2
372,528,0.502087,5
373,385,0.623783,2
374,58,0.820368,4
375,853,0.820368,2
376,413,0.641763,2
377,176,0.691361,27
378,750,0.507497,5
379,524,0.703753,3
380,414,0.691069,9
381,560,0.414895,2
382,532,0.562537,2
383,717,0.682588,2
384,281,0.831331,6
385,589,0.598308,23
386,261,0.370419,3
387,178,0.434345,32
388,693,0.689629,11
389,723,0.442706,26
390,821,0.791755,50
391,842,0.557004,31
392,836,0.426154,26
393,198,0.473488,20
394,204,0.791755,10
395,785,0.831331,5
396,20,0.503476,3
397,335,0.786739,2
398,80,0.786739,3
399,249,0.561848,2
400,622,0.667507,2
401,794,0.744494,2
402,803,0.746939,2
403,398,0.503801,7
404,251,0.653649,2
405,268,0.633452,3
406,817,0.646909,2
407,266,0.66141,4
408,721,0.683552,4
409,39,0.552967,2
410,431,0.746939,2
411,487,0.770682,3
412,322,0.687479,2
413,789,0.686955,2
414,840,0.532876,11
