query_idx,query_label,top1_label,top1_score,correct
0,580,520,0.725231,False
1,580,17,0.516837,False
2,254,254,0.881932,True
3,254,254,0.860165,True
4,254,254,0.847024,True
5,254,254,0.884072,True
6,254,254,0.880044,True
7,254,254,0.903902,True
8,254,254,0.898176,True
9,254,254,0.890559,True
10,254,254,0.849292,True
11,254,254,0.880047,True
12,619,141,0.680694,False
13,780,12,0.616786,False
14,780,780,0.931327,True
15,490,490,0.937272,True
16,490,645,0.83864,False
17,707,93,0.962098,False
18,707,580,0.79016,False
19,707,707,0.720431,True
20,707,520,0.764053,False
21,707,645,0.761334,False
22,707,366,0.811447,False
23,707,48,0.712002,False
24,707,580,0.791498,False
25,707,707,0.780711,True
26,707,754,0.569675,False
27,707,520,0.781244,False
28,217,217,0.835813,True
29,217,217,0.955047,True
30,217,217,0.89686,True
31,48,490,0.655935,False
32,48,722,0.603379,False
33,48,48,0.702929,True
34,48,707,0.898314,False
35,48,527,0.677577,False
36,48,619,0.636447,False
37,48,707,0.811596,False
38,48,580,0.677295,False
39,546,546,0.855405,True
40,669,669,0.935178,True
41,669,91,0.437672,False
42,669,669,0.848029,True
43,41,41,0.8738,True
44,93,426,0.483887,False
45,816,816,0.866402,True
46,816,816,0.85085,True
47,816,816,0.91013,True
48,816,816,0.882564,True
49,816,816,0.872428,True
50,605,605,0.831376,True
51,520,619,0.716705,False
52,520,707,0.829758,False
53,520,93,0.947619,False
54,520,419,0.620437,False
55,520,419,0.606879,False
56,453,252,0.521518,False
57,453,453,0.747018,True
58,453,453,0.757501,True
59,620,620,0.900176,True
60,620,620,0.934597,True
61,620,620,0.922047,True
62,216,216,1.000011,True
63,826,826,0.999954,True
64,49,49,0.931692,True
65,300,300,0.923495,True
66,300,300,0.952305,True
67,300,300,0.940564,True
68,301,301,0.953485,True
69,301,301,0.925411,True
70,148,148,0.931805,True
71,71,71,0.871011,True
72,71,71,0.853386,True
73,106,350,0.707164,False
74,106,106,0.941943,True
75,106,106,0.801353,True
76,106,106,0.933469,True
77,106,842,0.318323,False
78,106,354,0.510272,False
79,106,246,0.695303,False
80,106,106,0.741525,True
81,106,106,0.720466,True
82,106,246,0.695399,False
83,637,637,0.584799,True
84,367,335,0.361042,False
85,674,674,0.895956,True
86,674,674,0.781723,True
87,674,674,0.895956,True
88,674,674,0.875632,True
89,674,674,0.814009,True
90,674,674,0.841745,True
91,674,674,0.881153,True
92,155,155,0.934824,True
93,155,155,0.647601,True
94,91,91,0.817622,True
95,91,91,0.706624,True
96,91,91,0.889972,True
97,91,91,0.907281,True
98,91,91,0.777095,True
99,91,91,0.796716,True
100,37,37,0.826955,True
101,37,37,1.000046,True
102,37,37,0.923167,True
103,37,37,0.921517,True
104,344,344,0.688904,True
105,513,513,0.960839,True
106,513,513,0.981112,True
107,806,806,0.941436,True
108,806,806,0.939107,True
109,806,806,0.920822,True
110,806,806,0.937372,True
111,747,147,0.704099,False
112,17,106,0.671386,False
113,17,17,0.773677,True
114,17,747,0.728277,False
115,489,489,0.918377,True
116,489,489,0.895367,True
117,828,828,0.893666,True
118,828,828,0.928277,True
119,828,828,0.890855,True
120,584,584,0.676088,True
121,436,560,0.475213,False
122,436,436,0.589453,True
123,441,441,0.90491,True
124,441,515,0.522758,False
125,441,538,0.634056,False
126,441,747,0.671641,False
127,441,441,0.953597,True
128,441,33,0.58758,False
129,597,597,0.924743,True
130,597,597,0.910687,True
131,600,600,0.829983,True
132,193,193,0.972108,True
133,193,193,0.988537,True
134,193,193,0.988537,True
135,486,486,0.943528,True
136,486,486,0.960083,True
137,678,249,0.597432,False
138,134,524,0.589901,False
139,134,581,0.624073,False
140,134,134,0.930076,True
141,134,581,0.688618,False
142,147,147,0.90549,True
143,147,147,0.968007,True
144,784,784,0.957752,True
145,607,607,0.838214,True
146,607,607,0.851134,True
147,455,106,0.635759,False
148,6,6,0.918565,True
149,6,6,0.549644,True
150,6,6,0.903945,True
151,6,6,0.860402,True
152,6,6,0.866386,True
153,6,6,0.547648,True
154,6,6,0.840699,True
155,6,6,0.999463,True
156,6,6,0.992772,True
157,6,6,0.999384,True
158,6,6,0.971931,True
159,6,6,0.999304,True
160,6,6,0.996125,True
161,6,6,0.866024,True
162,6,6,0.999921,True
163,30,30,0.77839,True
164,339,30,0.513906,False
165,123,117,0.764499,False
166,123,223,0.649186,False
167,123,123,0.837109,True
168,123,223,0.594257,False
169,123,223,0.629098,False
170,645,490,0.919452,False
171,271,271,0.613843,True
172,271,271,0.740941,True
173,271,271,0.623958,True
174,271,271,0.61774,True
175,271,271,0.546444,True
176,271,271,0.727249,True
177,271,271,0.88164,True
178,462,462,0.86172,True
179,462,462,0.863272,True
180,462,462,0.927537,True
181,462,462,0.961013,True
182,462,462,0.950063,True
183,462,462,0.958401,True
184,462,462,0.666622,True
185,462,462,0.88611,True
186,462,462,0.870144,True
187,462,462,0.799337,True
188,462,462,0.851726,True
189,462,462,0.864459,True
190,250,250,0.888374,True
191,250,250,0.924484,True
192,250,250,0.84538,True
193,250,250,0.911947,True
194,82,82,0.950583,True
195,575,575,0.879418,True
196,174,174,0.751391,True
197,174,174,0.925484,True
198,174,174,0.953693,True
199,174,174,0.950082,True
200,174,174,0.856905,True
201,174,174,0.922567,True
202,174,174,0.920123,True
203,174,174,0.918947,True
204,174,174,0.95633,True
205,174,174,0.876869,True
206,174,174,0.916479,True
207,376,376,0.929241,True
208,376,376,0.952287,True
209,376,376,0.999942,True
210,376,376,0.999942,True
211,69,69,1.000006,True
212,60,60,0.785082,True
213,447,447,0.890174,True
214,447,447,0.890174,True
215,270,362,0.606015,False
216,270,117,0.790366,False
217,270,469,0.626905,False
218,117,117,0.928486,True
219,117,117,0.797165,True
220,212,212,0.962282,True
221,212,212,0.901059,True
222,212,212,0.903237,True
223,212,212,0.86115,True
224,212,212,0.915248,True
225,576,349,0.685811,False
226,576,576,0.658478,True
227,576,576,0.764407,True
228,576,576,0.820402,True
229,576,576,0.639784,True
230,576,576,0.649607,True
231,576,576,0.65592,True
232,576,576,0.764407,True
233,576,576,0.770988,True
234,576,576,0.730133,True
235,576,576,0.802585,True
236,576,576,0.65408,True
237,576,576,0.78629,True
238,576,576,0.649475,True
239,576,576,0.745501,True
240,576,576,0.928583,True
241,576,576,0.635635,True
242,576,576,0.776809,True
243,576,576,0.632359,True
244,576,576,0.674883,True
245,576,576,0.686561,True
246,576,576,0.764407,True
247,576,576,0.928583,True
248,576,576,0.652986,True
249,576,576,0.749493,True
250,576,576,0.759906,True
251,576,576,0.661354,True
252,576,576,0.754512,True
253,9,9,0.930016,True
254,9,9,0.943461,True
255,9,455,0.531356,False
256,9,9,0.910936,True
257,9,9,0.91309,True
258,9,581,0.564313,False
259,9,9,0.937225,True
260,9,9,0.940871,True
261,9,9,0.927382,True
262,9,9,0.930563,True
263,9,848,0.493708,False
264,9,9,0.952866,True
265,9,9,0.918909,True
266,9,9,0.904768,True
267,9,9,0.918404,True
268,719,719,0.820185,True
269,719,719,0.850805,True
270,719,719,0.84028,True
271,719,719,0.873551,True
272,719,719,0.830374,True
273,719,719,0.858612,True
274,719,719,0.818722,True
275,719,719,0.839757,True
276,719,719,0.823383,True
277,719,719,0.871472,True
278,719,719,0.838447,True
279,719,719,0.861197,True
280,719,719,0.843504,True
281,719,719,0.808376,True
282,719,719,0.81505,True
283,719,719,0.846864,True
284,719,719,0.853733,True
285,660,660,0.973288,True
286,660,660,0.872761,True
287,660,660,0.914069,True
288,660,660,0.963914,True
289,660,660,0.963914,True
290,660,660,0.948797,True
291,660,660,0.963921,True
292,660,660,0.913705,True
293,660,660,0.961697,True
294,660,660,0.96635,True
295,660,660,0.942757,True
296,660,660,0.933217,True
297,660,660,0.871854,True
298,660,660,0.877499,True
299,660,660,0.94471,True
300,368,368,0.928005,True
301,368,368,0.841792,True
302,368,368,0.964468,True
303,368,368,0.893871,True
304,368,368,0.910527,True
305,368,368,0.9037,True
306,368,368,0.917333,True
307,368,368,0.887442,True
308,368,99,0.954231,False
309,368,368,0.833335,True
310,368,368,0.891924,True
311,368,368,0.870897,True
312,368,368,0.884501,True
313,368,368,0.847958,True
314,368,368,0.841054,True
315,368,368,0.860648,True
316,368,368,0.837445,True
317,368,368,0.954681,True
318,368,368,0.858337,True
319,368,368,0.894597,True
320,368,368,0.939713,True
321,368,368,0.944924,True
322,368,368,0.887442,True
323,368,368,0.866266,True
324,368,368,0.882523,True
325,368,368,0.819175,True
326,371,371,0.860309,True
327,371,371,0.845634,True
328,371,371,0.798953,True
329,371,371,0.986413,True
330,371,371,0.941347,True
331,371,371,0.856609,True
332,371,371,0.908378,True
333,371,371,0.910945,True
334,371,371,0.858532,True
335,371,371,0.90903,True
336,371,371,0.87748,True
337,371,371,0.938632,True
338,371,371,0.960501,True
339,371,371,0.855748,True
340,371,371,0.927647,True
341,371,371,0.91859,True
342,371,371,0.899079,True
343,371,371,0.83281,True
344,371,371,0.935471,True
345,510,510,0.999791,True
346,508,508,0.870176,True
347,508,508,0.955941,True
348,508,508,0.955941,True
349,189,189,0.949243,True
350,476,476,0.919954,True
351,476,476,0.918107,True
352,476,476,0.992912,True
353,476,476,0.929085,True
354,523,523,0.845286,True
355,565,565,0.950862,True
356,421,421,0.887738,True
357,421,421,0.893058,True
358,421,421,0.891495,True
359,421,421,0.878843,True
360,421,478,0.531567,False
361,421,421,0.891495,True
362,421,421,0.889509,True
363,99,99,0.880129,True
364,99,99,0.827104,True
365,99,99,0.883863,True
366,99,99,0.924572,True
367,99,99,0.870115,True
368,99,99,0.885255,True
369,99,99,0.891917,True
370,99,99,0.802002,True
371,99,99,0.80795,True
372,99,99,0.865976,True
373,99,99,0.83983,True
374,99,99,0.899702,True
375,99,99,0.827236,True
376,99,99,0.886939,True
377,99,99,0.954231,True
378,99,99,0.870809,True
379,99,99,0.887402,True
380,99,99,0.89033,True
381,99,99,0.974593,True
382,99,99,0.83983,True
383,567,497,0.843795,False
384,567,497,0.839171,False
385,465,465,0.943803,True
386,465,465,0.943723,True
387,465,465,0.945186,True
388,465,465,0.953867,True
389,465,465,0.928118,True
390,465,465,0.946949,True
391,616,616,0.95563,True
392,739,770,0.765583,False
393,739,770,0.765583,False
394,739,739,0.783036,True
395,739,192,0.689791,False
396,739,192,0.734257,False
397,426,426,0.939482,True
398,426,426,0.951462,True
399,426,426,0.923946,True
400,426,426,0.911651,True
401,426,426,0.911651,True
402,426,426,0.959953,True
403,426,426,0.932877,True
404,680,680,0.995337,True
405,526,526,0.872608,True
406,526,526,0.861856,True
407,526,526,0.875626,True
408,526,526,0.838097,True
409,526,526,0.859339,True
410,526,526,0.762946,True
411,526,526,0.839575,True
412,417,417,0.950585,True
413,618,618,0.882251,True
414,618,618,0.885042,True
415,351,351,0.9136,True
416,351,351,0.922175,True
417,351,351,0.954199,True
418,494,494,0.795084,True
419,494,494,0.813472,True
420,494,494,0.816842,True
421,494,494,0.799408,True
422,494,494,0.764321,True
423,494,494,0.786316,True
424,494,494,0.769906,True
425,494,494,0.810524,True
426,111,443,0.291879,False
427,102,102,0.917536,True
428,651,651,0.879066,True
429,192,57,0.619338,False
430,527,526,0.658676,False
431,527,734,0.641501,False
432,57,351,0.845402,False
433,734,734,0.845873,True
434,86,86,0.985904,True
435,86,86,0.963929,True
436,86,86,0.955588,True
437,809,809,0.999978,True
438,809,809,0.999262,True
439,146,146,0.91897,True
440,799,799,0.910895,True
441,799,799,0.900822,True
442,799,799,0.920958,True
443,799,799,0.894668,True
444,799,799,0.89006,True
445,799,799,0.852298,True
446,799,799,0.918922,True
447,799,799,0.899147,True
448,799,799,0.920944,True
449,799,799,0.799882,True
450,799,799,0.943803,True
451,316,316,0.87056,True
452,316,316,0.874406,True
453,316,316,0.855458,True
454,316,316,0.886476,True
455,316,316,0.907123,True
456,636,636,0.808954,True
457,636,636,0.809186,True
458,636,636,0.826001,True
459,636,108,0.692286,False
460,636,636,0.730753,True
461,636,636,0.810086,True
462,159,159,0.728225,True
463,159,159,0.797278,True
464,159,159,0.748488,True
465,159,159,0.78615,True
466,712,712,0.7894,True
467,712,712,0.78149,True
468,712,712,0.790744,True
469,712,712,0.762389,True
470,712,712,0.804087,True
471,248,248,0.863351,True
472,248,248,0.867837,True
473,393,608,0.461276,False
474,108,123,0.455452,False
475,768,645,0.915663,False
476,449,449,0.760838,True
477,199,199,0.902147,True
478,199,106,0.485946,False
479,199,199,0.93111,True
480,199,199,0.910439,True
481,125,59,0.728814,False
482,125,645,0.895325,False
483,182,182,0.860658,True
484,182,182,0.896266,True
485,652,652,0.935364,True
486,652,652,0.772768,True
487,233,233,0.808188,True
488,233,233,0.764091,True
489,851,851,0.957876,True
490,43,43,0.788435,True
491,43,43,0.884241,True
492,43,43,0.871258,True
493,43,43,0.922998,True
494,43,43,0.8998,True
495,43,43,0.968412,True
496,43,43,0.872782,True
497,43,43,0.742377,True
498,43,43,0.894665,True
499,43,43,0.92803,True
500,43,43,0.899195,True
501,43,43,0.896219,True
502,43,43,0.720944,True
503,43,43,0.904211,True
504,43,43,0.932905,True
505,43,43,0.912748,True
506,43,43,0.890925,True
507,43,43,0.918028,True
508,43,43,0.836647,True
509,43,43,0.837872,True
510,225,246,0.605274,False
511,188,188,0.965565,True
512,188,188,0.963602,True
513,188,188,0.896773,True
514,188,188,0.949504,True
515,188,188,0.728785,True
516,188,188,0.946767,True
517,188,188,0.949344,True
518,746,746,0.893376,True
519,440,440,0.898508,True
520,323,323,0.825969,True
521,323,323,0.884837,True
522,323,323,0.853997,True
523,715,715,0.828147,True
524,715,715,0.812756,True
525,109,784,0.570514,False
526,139,85,0.725765,False
527,139,532,0.552838,False
528,7,7,0.813461,True
529,7,7,0.790862,True
530,7,7,0.860325,True
531,7,7,0.753059,True
532,7,7,0.755858,True
