gallery_idx,album_label,nn_distance,album_image_count
0,580,0.977549,3
1,254,0.944036,11
2,619,0.977549,2
3,780,0.964884,3
4,490,0.984441,3
5,707,0.979495,12
6,217,0.96412,4
7,48,0.984441,9
8,546,0.978349,2
9,669,0.944846,4
10,41,0.931099,2
11,93,0.963206,2
12,816,0.95682,6
13,605,0.953455,2
14,520,0.973513,6
15,453,0.951942,4
16,620,0.963715,4
17,216,0.93414,2
18,826,0.96063,2
19,49,0.932331,2
20,300,0.964184,4
21,301,0.957086,3
22,148,0.948352,2
23,71,0.95301,3
24,106,0.949098,11
25,637,0.950112,2
26,367,0.933572,2
27,674,0.952434,8
28,155,0.944352,3
29,91,0.950717,7
30,37,0.953996,5
31,344,0.961335,2
32,513,0.918822,3
33,806,0.961538,5
34,747,0.966821,2
35,17,0.958569,4
36,489,0.957658,3
37,828,0.959003,4
38,584,0.953491,2
39,436,0.956329,3
40,441,0.961759,7
41,597,0.942713,3
42,600,0.963909,2
43,193,0.941163,4
44,486,0.964658,3
45,678,0.96937,2
46,134,0.950863,5
47,147,0.965559,3
48,784,0.965946,2
49,607,0.955973,3
50,455,0.965472,2
51,6,0.926995,16
52,30,0.95036,2
53,339,0.961218,2
54,123,0.952994,6
55,645,0.969904,2
56,271,0.943362,8
57,462,0.943465,13
58,250,0.959818,5
59,82,0.956889,2
60,575,0.934075,2
61,174,0.945594,12
62,376,0.938325,5
63,69,0.93019,2
64,60,0.947689,2
65,447,0.951644,3
66,270,0.928811,4
67,117,0.953604,3
68,212,0.9481,6
69,576,0.963486,29
70,9,0.956579,16
71,719,0.968351,18
72,660,0.947195,16
73,368,0.964452,27
74,371,0.962678,20
75,510,0.959828,2
76,508,0.967947,4
77,189,0.951096,2
78,476,0.974241,5
79,523,0.95508,2
80,565,0.955812,2
81,421,0.951628,8
82,99,0.954817,21
83,567,0.951167,3
84,465,0.949638,7
85,616,0.980443,2
86,739,0.952511,6
87,426,0.980443,8
88,680,0.955004,2
89,526,0.962692,8
90,417,0.963956,2
91,618,0.948175,3
92,351,0.979748,4
93,494,0.960669,9
94,111,0.955088,2
95,102,0.951485,2
96,651,0.955004,2
97,192,0.946247,2
98,527,0.961305,3
99,57,0.979748,2
100,734,0.961544,2
