gallery_idx,album_label,nn_distance,album_image_count
0,580,0.968128,3
1,254,0.932147,11
2,619,0.968128,2
3,780,0.946391,3
4,490,0.974591,3
5,707,0.972016,12
6,217,0.943707,4
7,48,0.974591,9
8,546,0.962212,2
9,669,0.920784,4
10,41,0.890178,2
11,93,0.942393,2
12,816,0.942813,6
13,605,0.931925,2
14,520,0.951933,6
15,453,0.926989,4
16,620,0.94957,4
17,216,0.910096,2
18,826,0.945603,2
19,49,0.911633,2
20,300,0.947248,4
21,301,0.938031,3
22,148,0.911581,2
23,71,0.933566,3
24,106,0.932157,11
25,637,0.933264,2
26,367,0.902938,2
27,674,0.907345,8
28,155,0.925526,3
29,91,0.930763,7
30,37,0.935577,5
31,344,0.937768,2
32,513,0.877914,3
33,806,0.94894,5
34,747,0.958084,2
35,17,0.928232,4
36,489,0.932956,3
37,828,0.945007,4
38,584,0.9423,2
39,436,0.911252,3
40,441,0.945822,7
41,597,0.928541,3
42,600,0.952773,2
43,193,0.920237,4
44,486,0.951208,3
45,678,0.95865,2
46,134,0.911722,5
47,147,0.957753,3
48,784,0.952136,2
49,607,0.942894,3
50,455,0.949659,2
51,6,0.914935,16
52,30,0.924178,2
53,339,0.938865,2
54,123,0.93925,6
55,645,0.955524,2
56,271,0.911559,8
57,462,0.921574,13
58,250,0.943722,5
59,82,0.945145,2
60,575,0.906961,2
61,174,0.915478,12
62,376,0.911332,5
63,69,0.915413,2
64,60,0.941578,2
65,447,0.934919,3
66,270,0.921686,4
67,117,0.926177,3
68,212,0.924936,6
69,576,0.953352,29
70,9,0.941908,16
71,719,0.950389,18
72,660,0.930848,16
73,368,0.953526,27
74,371,0.94367,20
75,510,0.950939,2
76,508,0.958919,4
77,189,0.932271,2
78,476,0.965497,5
79,523,0.932752,2
80,565,0.942586,2
81,421,0.940649,8
82,99,0.944454,21
83,567,0.93925,3
84,465,0.942505,7
85,616,0.970067,2
86,739,0.93038,6
87,426,0.970067,8
88,680,0.937267,2
89,526,0.931573,8
90,417,0.949277,2
91,618,0.917297,3
92,351,0.970189,4
93,494,0.935009,9
94,111,0.942538,2
95,102,0.931495,2
96,651,0.940616,2
97,192,0.917297,2
98,527,0.943194,3
99,57,0.970189,2
100,734,0.952859,2
101,86,0.935865,4
102,809,0.932393,3
103,146,0.90611,2
104,799,0.902,12
105,316,0.929479,6
106,636,0.932033,7
107,159,0.930934,5
108,712,0.932033,6
109,248,0.930783,3
110,393,0.895238,2
111,108,0.931361,2
112,768,0.943998,2
113,449,0.899156,2
114,199,0.891733,5
115,125,0.946686,3
116,182,0.931361,3
117,652,0.912803,3
118,233,0.936264,3
119,851,0.919204,2
120,43,0.94375,21
121,225,0.951018,2
122,188,0.932207,8
123,746,0.927932,2
124,440,0.925597,2
125,323,0.948783,4
126,715,0.954826,3
127,109,0.939827,2
128,139,0.930712,3
129,7,0.950939,17
130,655,0.94275,2
131,337,0.931661,8
132,517,0.934977,2
133,352,0.94022,3
134,152,0.955503,21
135,571,0.899463,12
136,480,0.937256,18
137,201,0.956486,4
138,112,0.945743,2
139,738,0.931112,21
140,356,0.928325,2
141,617,0.943015,2
142,435,0.948726,6
143,805,0.944815,2
144,434,0.949415,2
145,305,0.918558,7
146,284,0.943728,14
147,540,0.919708,2
148,399,0.943166,7
149,463,0.960781,12
150,118,0.90073,2
151,306,0.914042,5
152,726,0.914572,10
153,205,0.929904,12
154,97,0.916202,4
155,247,0.950372,2
156,158,0.895382,5
157,446,0.924344,9
158,285,0.929904,2
159,668,0.925666,14
160,280,0.921449,20
161,613,0.929319,12
162,548,0.933264,7
163,664,0.920191,2
164,852,0.963124,6
165,703,0.963124,3
166,731,0.924675,5
167,197,0.89064,3
168,694,0.924344,3
169,609,0.927007,2
170,348,0.925233,41
171,35,0.90042,2
172,641,0.920717,18
173,128,0.911141,30
174,689,0.946877,7
175,357,0.923148,16
176,424,0.954826,16
177,327,0.872842,8
178,377,0.905388,2
179,172,0.927555,3
180,195,0.946815,2
181,232,0.9515,2
182,21,0.943322,2
183,537,0.952673,3
184,438,0.952937,14
185,472,0.918971,11
186,582,0.942343,3
187,634,0.90344,17
188,530,0.94651,2
189,735,0.930038,38
190,481,0.943166,14
191,219,0.925267,14
192,533,0.94275,4
193,593,0.918727,4
194,53,0.938539,2
195,497,0.954166,2
196,124,0.912979,20
197,475,0.952675,2
198,167,0.930712,5
199,534,0.937606,5
200,272,0.951271,6
201,415,0.9465,2
202,420,0.947931,3
203,308,0.937855,2
204,555,0.923306,7
205,559,0.915133,2
206,603,0.930982,2
207,260,0.937423,2
208,315,0.949946,2
209,87,0.952675,2
210,135,0.942586,2
211,304,0.976768,2
212,763,0.976768,2
213,827,0.93833,2
214,778,0.929145,13
215,507,0.899489,7
216,252,0.935395,3
217,264,0.873949,5
218,67,0.901396,10
219,326,0.953228,6
220,522,0.946538,7
221,68,0.958389,7
222,649,0.944233,6
223,825,0.935666,6
224,504,0.92117,5
225,66,0.928374,21
226,355,0.945382,5
227,169,0.965497,9
228,451,0.937156,5
229,776,0.948058,8
230,228,0.963706,17
231,73,0.923915,3
232,404,0.925785,3
233,206,0.895712,8
234,549,0.925233,3
235,422,0.92274,10
236,531,0.893151,4
237,542,0.933908,2
238,752,0.916661,12
239,394,0.92274,2
240,78,0.909208,2
241,191,0.933908,12
242,501,0.923634,2
243,101,0.922888,5
244,244,0.928211,5
245,503,0.942155,2
246,162,0.903698,2
247,783,0.907007,9
248,329,0.903952,19
249,696,0.956308,9
250,710,0.933036,2
251,657,0.889753,2
252,756,0.865313,8
253,389,0.913277,2
254,11,0.919643,3
255,412,0.941683,3
256,830,0.947219,8
257,22,0.936168,7
258,142,0.930434,3
259,38,0.918941,2
260,390,0.903099,8
261,667,0.947012,10
262,518,0.932426,10
263,813,0.949508,2
264,470,0.925681,2
265,411,0.94843,2
266,90,0.940716,2
267,516,0.94772,6
268,223,0.93649,5
269,46,0.973816,2
270,310,0.972164,4
271,171,0.973816,3
272,410,0.926494,2
273,592,0.910619,4
274,442,0.92454,2
275,671,0.904393,23
276,274,0.904393,4
277,181,0.933698,4
278,278,0.933194,10
279,684,0.933194,8
280,239,0.906947,5
281,190,0.888107,3
282,831,0.85313,12
283,625,0.8842,4
284,151,0.918941,3
285,273,0.873054,3
286,627,0.953493,13
287,59,0.944788,2
288,407,0.943223,2
289,353,0.919134,5
290,19,0.921578,18
291,214,0.928819,3
292,36,0.949406,4
293,267,0.940369,2
294,553,0.933369,14
295,289,0.951099,24
296,34,0.942011,3
297,75,0.919169,2
298,133,0.937417,2
299,770,0.907662,9
300,365,0.937262,12
301,628,0.932691,13
302,772,0.943304,2
303,670,0.941853,4
304,850,0.921101,3
305,485,0.936309,5
306,256,0.920132,2
307,439,0.941037,2
308,646,0.926213,4
309,691,0.979097,2
310,626,0.979097,2
311,699,0.936629,3
312,342,0.928374,4
313,363,0.934576,20
314,185,0.925697,2
315,416,0.936819,3
316,732,0.940682,2
317,354,0.960781,15
318,144,0.938286,6
319,677,0.913994,6
320,221,0.942735,5
321,395,0.92551,2
322,795,0.924639,2
323,64,0.960364,3
324,366,0.96629,2
325,314,0.942155,5
326,793,0.946391,12
327,666,0.948756,4
328,429,0.948756,5
329,100,0.936327,2
330,336,0.931027,9
331,550,0.952017,4
332,437,0.942085,8
333,521,0.927105,5
334,612,0.928282,2
335,448,0.947721,5
336,495,0.909696,15
337,154,0.94776,3
338,849,0.94776,2
339,743,0.954754,3
340,160,0.912054,2
341,679,0.947721,8
342,456,0.933013,4
343,84,0.924626,5
344,321,0.916678,3
345,644,0.937585,2
346,423,0.941527,6
347,52,0.937332,30
348,207,0.932087,14
349,681,0.941395,5
350,661,0.921431,9
351,430,0.954221,2
352,777,0.912389,12
353,786,0.936737,7
354,833,0.941542,9
355,303,0.946217,2
356,591,0.953965,14
357,755,0.920395,7
358,804,0.933665,11
359,33,0.948724,3
360,714,0.947725,26
361,535,0.942085,17
362,598,0.938955,9
363,662,0.919952,2
364,443,0.919952,3
365,473,0.926682,2
366,397,0.912508,2
367,639,0.926173,3
368,515,0.898709,4
369,698,0.925342,3
370,769,0.889979,4
371,563,0.913225,2
372,528,0.933281,5
373,385,0.929215,2
374,58,0.975715,4
375,853,0.975715,2
376,413,0.925791,2
377,176,0.942672,27
378,750,0.940649,5
379,524,0.941897,3
380,414,0.943329,9
381,560,0.940655,2
382,532,0.948115,2
383,717,0.943046,2
384,281,0.974739,6
385,589,0.922511,23
386,261,0.903547,3
387,178,0.936319,32
388,693,0.949659,11
389,723,0.933009,26
390,821,0.945961,50
391,842,0.941853,31
392,836,0.92942,26
393,198,0.892165,20
394,204,0.945961,10
395,785,0.974739,5
396,20,0.944233,3
397,335,0.965165,2
398,80,0.965165,3
399,249,0.936078,2
400,622,0.952773,2
401,794,0.945117,2
402,803,0.958906,2
403,398,0.922906,7
404,251,0.935125,2
405,268,0.941542,3
406,817,0.939564,2
407,266,0.958008,4
408,721,0.938835,4
409,39,0.911399,2
410,431,0.958906,2
411,487,0.950414,3
412,322,0.941821,2
413,789,0.958008,2
414,840,0.948767,11
415,227,0.930483,3
416,631,0.915464,2
417,226,0.91285,2
418,279,0.885243,4
419,759,0.938666,3
420,469,0.933408,3
421,275,0.948726,2
422,334,0.946686,2
423,700,0.90907,2
424,165,0.921059,5
425,724,0.941904,2
426,708,0.932659,2
427,173,0.923784,10
428,812,0.926104,3
429,202,0.958389,8
430,844,0.916711,2
431,286,0.897415,23
432,841,0.905803,3
433,127,0.874719,3
434,748,0.934467,2
435,81,0.936136,39
436,725,0.923229,2
437,672,0.906643,18
438,187,0.925601,35
439,372,0.933705,2
440,375,0.91819,2
441,566,0.922374,35
442,145,0.908326,2
443,92,0.947147,4
444,253,0.888208,3
445,547,0.937959,2
446,340,0.887978,8
447,709,0.892456,4
448,246,0.946217,5
449,15,0.933495,12
450,642,0.940057,30
451,137,0.947334,2
452,727,0.908044,2
453,736,0.933831,2
454,24,0.944276,13
455,682,0.929768,6
456,283,0.950707,3
457,744,0.939548,3
458,492,0.945135,2
459,427,0.956611,2
460,588,0.947248,2
461,471,0.934757,19
462,391,0.907178,2
463,89,0.93368,6
464,673,0.945388,3
465,297,0.918186,4
466,635,0.956415,3
467,96,0.952492,2
468,418,0.958972,2
469,484,0.94534,2
470,733,0.946856,2
471,753,0.936112,2
472,358,0.951128,3
473,121,0.95212,7
474,343,0.940337,2
475,461,0.958972,2
476,299,0.952492,2
477,140,0.950632,2
478,581,0.95747,2
479,583,0.936145,2
480,126,0.956833,2
481,460,0.932334,2
482,294,0.933177,4
483,381,0.941829,19
484,663,0.930899,6
485,12,0.954864,14
486,70,0.897851,3
487,787,0.941467,34
488,648,0.941467,2
489,468,0.940111,15
490,848,0.918413,2
491,614,0.946028,4
492,290,0.952332,4
493,690,0.951099,2
494,808,0.949708,19
495,544,0.954166,14
496,150,0.903144,4
497,498,0.928771,2
498,0,0.944786,3
499,211,0.943519,15
500,539,0.949839,26
501,132,0.951651,19
502,823,0.933568,4
503,42,0.93995,8
504,773,0.9997,3
505,615,0.919169,5
506,269,0.9997,2
507,378,0.928662,2
508,61,0.949839,3
509,116,0.921974,3
510,606,0.928211,7
511,156,0.930833,5
512,382,0.945743,2
513,824,0.930878,2
514,5,0.930971,2
515,742,0.915832,2
516,45,0.949088,6
517,765,0.876849,3
518,506,0.913896,12
519,94,0.950832,14
520,208,0.885215,10
521,586,0.86562,2
522,245,0.916411,13
523,464,0.957053,8
524,157,0.94618,2
525,203,0.916668,4
526,346,0.900697,4
527,643,0.931085,18
528,796,0.930929,2
529,330,0.91233,2
530,312,0.946989,2
531,119,0.938948,2
532,767,0.927602,26
533,482,0.93504,4
534,676,0.939478,6
535,180,0.992446,2
536,512,0.992446,4
537,55,0.941151,9
538,113,0.957791,10
539,401,0.882875,5
540,811,0.926102,4
541,425,0.942139,9
542,200,0.946705,3
543,85,0.933784,2
544,224,0.943519,2
545,632,0.957791,2
546,54,0.954164,2
547,77,0.941743,2
548,383,0.94314,13
549,728,1.000064,38
550,10,0.931027,9
551,153,0.891245,2
552,519,0.922516,2
553,749,0.928943,2
554,350,0.933408,4
555,104,0.903599,3
556,790,0.948391,24
557,259,0.870689,3
558,835,0.897917,35
559,572,1.000064,2
560,822,0.882368,2
561,458,0.866752,2
562,466,0.951651,31
563,347,0.910058,4
564,400,0.936799,9
565,543,0.943728,3
566,369,0.956719,2
567,459,0.937513,3
568,845,0.942139,8
569,76,0.949585,3
570,608,0.924399,29
571,345,0.948762,2
572,149,0.947191,3
573,579,0.933369,17
574,502,0.948391,5
575,659,0.944231,25
576,114,0.941193,2
577,29,0.925486,33
578,258,0.952448,18
579,396,0.927277,2
580,110,0.956486,2
581,265,0.913644,3
582,445,0.939829,9
583,578,0.930285,6
584,166,0.880553,17
585,4,0.916864,2
586,370,0.93451,14
587,536,0.93451,2
588,843,0.973066,3
589,730,0.973066,20
590,2,0.940817,21
591,50,0.927938,2
592,505,0.881306,4
593,741,0.874395,2
594,551,0.940305,7
595,500,0.918214,3
596,467,0.922067,6
597,718,0.954245,3
598,558,0.962711,3
599,525,0.936479,2
600,585,0.980832,8
601,511,0.980832,7
602,554,0.924675,9
603,564,0.947904,2
604,243,0.924639,3
605,766,0.923488,2
606,633,0.93149,2
607,577,0.931522,2
608,175,0.896724,2
609,296,0.93692,3
610,779,0.933352,2
611,654,0.922552,2
612,333,0.920932,10
613,292,0.915385,2
614,161,0.923842,2
615,509,0.910948,2
616,318,0.916171,2
617,561,0.924026,2
618,815,0.926177,2
619,444,0.92467,5
620,837,0.932652,4
621,56,0.934508,2
622,218,0.92898,14
623,242,0.929065,2
624,800,0.932867,4
625,325,0.931168,6
626,373,0.922979,2
627,538,0.931052,16
628,764,0.877765,6
629,138,0.934654,6
630,810,0.946452,4
631,210,0.932418,6
632,457,0.951061,2
633,230,0.935231,2
634,62,0.916464,4
635,364,0.952673,2
636,184,0.896973,2
637,263,0.941434,2
638,328,0.940124,2
639,237,0.940473,2
640,658,0.944092,38
641,196,0.924912,9
642,362,0.913451,4
643,287,0.926094,5
644,798,0.926159,14
645,573,0.892626,14
646,28,0.916803,2
647,428,0.94379,4
648,255,0.920409,2
649,164,0.909215,2
650,44,0.89616,11
651,687,0.893876,8
652,402,0.937591,4
653,761,0.927624,16
654,63,0.903075,3
655,624,0.919204,4
656,65,0.94375,2
657,359,0.950067,2
658,209,0.940057,5
659,240,0.942372,12
660,40,0.924436,2
661,47,0.944391,6
662,107,0.933778,9
663,98,0.936319,3
664,51,0.956973,4
665,83,0.876459,6
666,16,0.936502,4
667,630,0.889943,5
668,234,0.954754,7
669,695,0.953121,4
670,854,0.934062,5
671,601,0.893201,7
672,647,0.924886,2
673,775,0.919975,12
674,788,0.945586,7
675,774,0.974064,17
676,656,0.953352,11
677,291,0.952177,2
678,706,0.900258,2
679,599,0.955673,2
680,478,0.948669,2
681,514,0.974064,3
682,675,0.935328,3
683,545,0.93474,2
684,405,0.952595,4
685,320,0.942505,3
686,602,0.934966,11
687,295,0.956308,3
688,179,0.939544,2
689,143,0.939816,2
690,331,0.944254,2
691,26,0.901678,2
692,751,0.912803,2
693,638,0.939749,3
694,235,0.92389,4
695,141,0.933127,6
696,629,0.942876,4
697,32,0.928273,6
698,557,0.928662,5
699,360,0.927239,6
700,740,0.940369,2
701,74,0.931903,35
702,745,0.925301,2
703,483,0.944765,2
704,324,0.939528,13
705,477,0.933352,17
706,72,0.944765,7
707,604,0.944943,2
708,762,0.919975,9
709,419,0.953826,2
710,408,0.921732,8
711,781,0.935332,8
712,194,0.953121,2
713,293,0.938166,5
714,3,0.906254,16
715,392,0.958902,30
716,136,0.950819,22
717,14,0.898826,2
718,650,0.943332,8
719,683,0.953884,28
720,8,0.957006,43
721,213,0.927938,2
722,379,0.953965,2
723,488,0.898031,3
724,832,0.950819,2
725,838,0.95193,20
726,319,0.94188,13
727,183,0.936026,2
728,814,0.939808,2
729,754,0.971196,17
730,341,0.913164,2
731,569,0.926418,4
732,562,0.927962,4
733,705,0.934754,3
734,782,0.957585,5
735,95,0.927225,9
736,737,0.945109,2
737,491,0.934353,2
738,729,0.919069,3
739,231,0.944943,8
740,713,0.940981,2
741,452,0.908017,9
742,819,0.943722,11
743,88,0.932069,8
744,332,0.93413,4
745,307,0.92704,5
746,797,0.934836,4
747,262,0.923024,3
748,556,0.928943,2
749,610,0.900128,2
750,31,0.93339,4
751,568,0.953884,4
752,120,0.943679,25
753,349,0.932355,2
754,574,0.940381,13
755,701,0.938646,29
756,839,0.948787,4
757,388,0.923228,10
758,758,0.944231,6
759,18,0.928963,3
760,692,0.947248,14
761,380,0.940031,2
762,802,0.919903,26
763,493,0.878529,3
764,552,0.907115,2
765,282,0.943369,4
766,1,0.931488,4
767,432,0.928955,2
768,704,0.92942,3
769,771,0.958902,2
770,238,0.9283,2
771,27,0.94464,3
772,302,0.946335,2
773,688,0.927774,2
774,361,0.944336,2
775,818,0.956415,2
776,685,0.913823,4
777,587,0.943253,2
778,168,0.954864,2
779,406,0.93995,9
780,760,0.940678,2
781,23,0.927755,2
782,834,0.945382,2
783,596,0.90306,8
784,499,0.908197,2
785,450,0.941195,15
786,163,0.949398,12
787,529,0.941155,2
788,595,0.946761,3
789,25,0.940942,2
790,801,0.920584,12
791,757,0.922889,10
792,846,0.927114,3
793,215,0.926224,2
794,241,0.937144,3
795,130,0.932207,3
796,541,0.933433,2
797,257,0.937999,5
798,170,0.951691,2
799,686,0.950964,3
800,454,0.905789,2
801,792,0.938996,2
802,433,0.927667,2
803,177,0.919336,2
804,309,0.944024,3
805,220,0.93414,2
806,186,0.897066,2
807,276,0.936309,2
808,653,0.936714,2
809,313,0.957585,19
810,820,0.946815,9
811,13,0.949408,4
812,623,0.905465,3
813,640,0.902459,15
814,105,0.902124,2
815,129,0.884089,3
816,807,0.929888,2
817,611,0.920184,3
818,716,0.922169,3
819,115,0.940916,9
820,829,0.89944,3
821,384,0.934149,4
822,387,0.915848,2
823,479,0.950435,4
824,386,0.925256,4
825,570,0.921658,3
826,79,0.927156,3
827,222,0.961108,2
828,590,0.949113,3
829,288,0.934696,2
830,697,0.932069,5
831,131,0.923068,3
832,409,0.954237,3
833,594,0.954237,2
834,621,0.949398,2
835,722,0.952488,2
836,317,0.928818,3
837,298,0.961108,2
838,702,0.976555,8
839,403,0.98008,2
840,791,0.917503,2
841,374,0.916375,2
842,229,0.9277,3
843,665,0.938643,6
844,711,0.89133,2
845,103,0.928439,2
846,720,0.924744,15
847,847,0.899553,3
848,122,0.899553,4
849,311,0.941578,3
850,277,0.940937,2
851,474,0.93896,9
852,338,0.93952,3
853,236,0.988928,13
854,496,0.988928,3
