query_idx,query_label,top1_label,top1_score,correct
0,580,490,0.943078,False
1,580,834,0.939516,False
2,254,254,0.985464,True
3,254,254,0.98242,True
4,254,254,0.981832,True
5,254,254,0.984378,True
6,254,254,0.987772,True
7,254,254,0.985414,True
8,254,254,0.980788,True
9,254,254,0.98328,True
10,254,254,0.97485,True
11,254,254,0.983876,True
12,619,794,0.943203,False
13,780,12,0.942545,False
14,780,780,0.98888,True
15,490,490,0.986065,True
16,490,645,0.962229,False
17,707,93,0.989888,False
18,707,580,0.962007,False
19,707,754,0.92686,False
20,707,707,0.952609,True
21,707,645,0.94056,False
22,707,514,0.966631,False
23,707,490,0.922619,False
24,707,580,0.962807,False
25,707,645,0.9449,False
26,707,520,0.915706,False
27,707,520,0.951872,False
28,217,217,0.977544,True
29,217,217,0.993555,True
30,217,217,0.986782,True
31,48,656,0.926069,False
32,48,426,0.945641,False
33,48,754,0.92694,False
34,48,707,0.977141,False
35,48,149,0.942161,False
36,48,426,0.953699,False
37,48,707,0.957669,False
38,48,300,0.939613,False
39,546,546,0.976788,True
40,669,669,0.989889,True
41,669,309,0.926206,False
42,669,669,0.977292,True
43,41,41,0.955673,True
44,93,64,0.937695,False
45,816,816,0.982833,True
46,816,816,0.984548,True
47,816,816,0.990231,True
48,816,816,0.985348,True
49,816,816,0.986457,True
50,605,605,0.959159,True
51,520,619,0.954072,False
52,520,707,0.963408,False
53,520,93,0.985793,False
54,520,419,0.958125,False
55,520,434,0.952671,False
56,453,381,0.926872,False
57,453,453,0.952144,True
58,453,453,0.952837,True
59,620,620,0.979605,True
60,620,620,0.982142,True
61,620,620,0.980671,True
62,216,216,0.99994,True
63,826,826,0.999963,True
64,49,49,0.98612,True
65,300,300,0.979929,True
66,300,300,0.989108,True
67,300,300,0.99002,True
68,301,301,0.992441,True
69,301,301,0.986327,True
70,148,148,0.974979,True
71,71,71,0.984209,True
72,71,71,0.9801,True
73,106,590,0.920926,False
74,106,106,0.987013,True
75,106,106,0.959748,True
76,106,106,0.98305,True
77,106,163,0.89784,False
78,106,354,0.94064,False
79,106,225,0.936045,False
80,106,106,0.942951,True
81,106,106,0.953133,True
82,106,225,0.935528,False
83,637,242,0.93134,False
84,367,627,0.91676,False
85,674,674,0.954058,True
86,674,674,0.96079,True
87,674,674,0.954058,True
88,674,674,0.968178,True
89,674,674,0.941235,True
90,674,674,0.947787,True
91,674,674,0.948957,True
92,155,155,0.983073,True
93,155,155,0.963282,True
94,91,91,0.966121,True
95,91,91,0.948422,True
96,91,91,0.970658,True
97,91,91,0.97877,True
98,91,91,0.957222,True
99,91,91,0.940397,True
100,37,37,0.963648,True
101,37,37,1.000032,True
102,37,37,0.986688,True
103,37,37,0.985159,True
104,344,344,0.959128,True
105,513,513,0.991352,True
106,513,513,0.994492,True
107,806,806,0.990739,True
108,806,806,0.992795,True
109,806,806,0.989339,True
110,806,806,0.992536,True
111,747,147,0.966362,False
112,17,363,0.923783,False
113,17,17,0.958851,True
114,17,228,0.965067,False
115,489,489,0.986656,True
116,489,489,0.97993,True
117,828,828,0.985306,True
118,828,828,0.990485,True
119,828,828,0.989929,True
120,584,584,0.942486,True
121,436,128,0.924996,False
122,436,436,0.942993,True
123,441,441,0.988631,True
124,441,47,0.913022,False
125,441,355,0.938582,False
126,441,747,0.95297,False
127,441,441,0.993746,True
128,441,24,0.935624,False
129,597,597,0.969458,True
130,597,597,0.962548,True
131,600,600,0.980185,True
132,193,193,0.996118,True
133,193,193,0.997454,True
134,193,193,0.997454,True
135,486,486,0.990406,True
136,486,486,0.993991,True
137,678,431,0.955933,False
138,134,562,0.91485,False
139,134,36,0.940179,False
140,134,134,0.964479,True
141,134,431,0.94607,False
142,147,147,0.991796,True
143,147,147,0.99717,True
144,784,784,0.994564,True
145,607,607,0.964134,True
146,607,607,0.973849,True
147,455,363,0.934222,False
148,6,6,0.978084,True
149,6,790,0.927906,False
150,6,6,0.98774,True
151,6,6,0.972975,True
152,6,6,0.960387,True
153,6,399,0.88912,False
154,6,6,0.957599,True
155,6,6,0.999718,True
156,6,6,0.998009,True
157,6,6,0.999692,True
158,6,6,0.994536,True
159,6,6,0.999866,True
160,6,6,0.999317,True
161,6,6,0.951679,True
162,6,6,1.000051,True
163,30,30,0.95446,True
164,339,375,0.92586,False
165,123,117,0.923751,False
166,123,463,0.929361,False
167,123,123,0.945206,True
168,123,463,0.928691,False
169,123,463,0.94217,False
170,645,754,0.981206,False
171,271,271,0.939046,True
172,271,271,0.945286,True
173,271,271,0.938116,True
174,271,271,0.937327,True
175,271,271,0.914089,True
176,271,271,0.941835,True
177,271,271,0.981447,True
178,462,462,0.983447,True
179,462,462,0.983771,True
180,462,462,0.986547,True
181,462,462,0.991579,True
182,462,462,0.991584,True
183,462,462,0.992631,True
184,462,462,0.954126,True
185,462,462,0.983703,True
186,462,462,0.983058,True
187,462,462,0.977347,True
188,462,462,0.985237,True
189,462,462,0.982086,True
190,250,250,0.97852,True
191,250,250,0.987034,True
192,250,250,0.976607,True
193,250,250,0.982972,True
194,82,82,0.97856,True
195,575,575,0.972418,True
196,174,174,0.962443,True
197,174,174,0.982482,True
198,174,174,0.989624,True
199,174,174,0.98428,True
200,174,174,0.950444,True
201,174,174,0.981825,True
202,174,174,0.983453,True
203,174,174,0.983524,True
204,174,174,0.986504,True
205,174,174,0.973561,True
206,174,174,0.986509,True
207,376,376,0.980232,True
208,376,376,0.984544,True
209,376,376,0.999978,True
210,376,376,0.999978,True
211,69,69,1.00002,True
212,60,60,0.928812,True
213,447,447,0.959253,True
214,447,447,0.959253,True
215,270,307,0.926875,False
216,270,117,0.929844,False
217,270,14,0.922965,False
218,117,117,0.979001,True
219,117,117,0.946365,True
220,212,212,0.994557,True
221,212,212,0.987728,True
222,212,212,0.988017,True
223,212,212,0.979898,True
224,212,212,0.989302,True
225,576,251,0.933906,False
226,576,523,0.944944,False
227,576,576,0.961062,True
228,576,576,0.969509,True
229,576,576,0.951682,True
230,576,576,0.95736,True
231,576,576,0.955977,True
232,576,576,0.961062,True
233,576,576,0.969453,True
234,576,576,0.96287,True
235,576,576,0.963342,True
236,576,576,0.958193,True
237,576,576,0.961487,True
238,576,523,0.948681,False
239,576,576,0.966054,True
240,576,576,0.987366,True
241,576,576,0.954761,True
242,576,576,0.963146,True
243,576,576,0.951688,True
244,576,576,0.953535,True
245,576,576,0.956075,True
246,576,576,0.961062,True
247,576,576,0.987366,True
248,576,576,0.947353,True
249,576,576,0.966582,True
250,576,714,0.943317,False
251,576,576,0.95437,True
252,576,576,0.958507,True
253,9,9,0.992897,True
254,9,9,0.993641,True
255,9,300,0.941225,False
256,9,9,0.989866,True
257,9,9,0.990677,True
258,9,368,0.943844,False
259,9,9,0.992612,True
260,9,9,0.993802,True
261,9,9,0.992411,True
262,9,9,0.993096,True
263,9,363,0.928209,False
