gallery_idx,album_label,nn_distance,album_image_count
0,580,0.551596,3
1,254,0.649924,11
2,619,0.551596,2
3,780,0.514968,3
4,490,0.632345,3
5,707,0.581267,12
6,217,0.633905,4
7,48,0.613656,9
8,546,0.515411,2
9,669,0.494434,4
10,41,0.491248,2
11,93,0.529783,2
12,816,0.512282,6
13,605,0.52551,2
14,520,0.613656,6
15,453,0.525584,4
16,620,0.584463,4
17,216,0.481245,2
18,826,0.615168,2
19,49,0.539634,2
20,300,0.858492,4
21,301,0.858492,3
22,148,0.63124,2
23,71,0.540296,3
24,106,0.441061,11
25,637,0.542511,2
26,367,0.615168,2
27,674,0.884384,8
28,155,0.524307,3
29,91,0.884384,7
30,37,0.56439,5
31,344,0.57813,2
32,513,0.63124,3
33,806,0.51804,5
34,747,0.81764,2
35,17,0.81764,4
36,489,0.723852,3
37,828,0.624847,4
38,584,0.524997,2
39,436,0.526855,3
40,441,0.7774,7
41,597,0.528996,3
42,600,0.669507,2
43,193,0.538002,4
44,486,0.617523,3
45,678,0.627391,2
46,134,0.736468,5
47,147,0.748656,3
48,784,0.748656,2
49,607,0.697848,3
50,455,0.701478,2
51,6,0.721104,16
52,30,0.64262,2
53,339,0.579629,2
54,123,0.78214,6
55,645,0.593933,2
56,271,0.579629,8
57,462,0.682925,13
58,250,0.648297,5
59,82,0.666872,2
60,575,0.640558,2
61,174,0.669861,12
62,376,0.739914,5
63,69,0.78214,2
64,60,0.51621,2
65,447,0.737873,3
66,270,0.61369,4
67,117,0.61369,3
68,212,0.576453,6
69,576,0.726014,29
70,9,0.723067,16
71,719,0.669474,18
72,660,0.693209,16
73,368,0.723067,27
74,371,0.582204,20
75,510,0.66037,2
76,508,0.603232,4
77,189,0.693209,2
78,476,0.576118,5
79,523,0.644315,2
80,565,0.531826,2
81,421,0.698009,8
82,99,0.568018,21
83,567,0.437374,3
84,465,0.662524,7
85,616,0.793396,2
86,739,0.602237,6
87,426,0.793396,8
88,680,0.707594,2
89,526,0.677303,8
90,417,0.661233,2
91,618,0.598909,3
92,351,0.696611,4
93,494,0.551223,9
94,111,0.631782,2
95,102,0.646621,2
96,651,0.593476,2
97,192,0.628052,2
98,527,0.650324,3
99,57,0.686548,2
100,734,0.686548,2
101,86,0.696611,4
102,809,0.663312,3
103,146,0.838798,2
104,799,0.767817,12
105,316,0.838798,6
106,636,0.855441,7
107,159,0.839015,5
108,712,0.855441,6
109,248,0.698404,3
110,393,0.483807,2
111,108,0.692548,2
112,768,0.603148,2
113,449,0.673493,2
114,199,0.600183,5
115,125,0.739852,3
116,182,0.810213,3
117,652,0.790803,3
118,233,0.647551,3
119,851,0.628406,2
120,43,0.707363,21
121,225,0.569345,2
122,188,0.703068,8
123,746,0.624461,2
124,440,0.515813,2
125,323,0.753367,4
126,715,0.576658,3
127,109,0.715589,2
128,139,0.510144,3
129,7,0.534898,17
130,655,0.723423,2
131,337,0.77802,8
132,517,0.580965,2
133,352,0.77802,3
134,152,0.619228,21
135,571,0.60635,12
136,480,0.672181,18
137,201,0.532817,4
138,112,0.631402,2
139,738,0.656628,21
140,356,0.652808,2
141,617,0.653374,2
142,435,0.515531,6
143,805,0.650707,2
144,434,0.563434,2
145,305,0.51535,7
146,284,0.614213,14
147,540,0.607005,2
148,399,0.746086,7
149,463,0.595725,12
150,118,0.702165,2
151,306,0.769806,5
152,726,0.769806,10
153,205,0.700181,12
154,97,0.581606,4
155,247,0.542745,2
156,158,0.657123,5
157,446,0.578327,9
158,285,0.583276,2
159,668,0.56068,14
160,280,0.679381,20
161,613,0.653284,12
162,548,0.700181,7
163,664,0.612845,2
164,852,0.913689,6
165,703,0.913689,3
166,731,0.63264,5
167,197,0.607549,3
168,694,0.483402,3
169,609,0.60635,2
