query_idx,query_label,top1_label,top1_score,correct
0,580,490,0.521241,False
1,580,580,0.704242,True
2,254,254,0.848439,True
3,254,254,0.857098,True
4,254,254,0.845591,True
5,254,254,0.878698,True
6,254,254,0.897877,True
7,254,254,0.796055,True
8,254,254,0.84694,True
9,254,254,0.769049,True
10,254,254,0.784532,True
11,254,254,0.875394,True
12,619,619,0.621232,True
13,780,701,0.556061,False
14,780,780,0.889202,True
15,490,490,0.715108,True
16,490,490,0.605276,True
17,707,707,0.772018,True
18,707,707,0.659867,True
19,707,707,0.643381,True
20,707,707,0.758839,True
21,707,707,0.755034,True
22,707,707,0.55651,True
23,707,707,0.71036,True
24,707,707,0.649613,True
25,707,707,0.72535,True
26,707,707,0.731352,True
27,707,707,0.654288,True
28,217,217,0.784073,True
29,217,217,0.910835,True
30,217,217,0.896949,True
31,48,48,0.631078,True
32,48,48,0.597884,True
33,48,48,0.827872,True
34,48,48,0.798168,True
35,48,295,0.609245,False
36,48,48,0.623804,True
37,48,48,0.793013,True
38,48,48,0.632659,True
39,546,546,0.739145,True
40,669,669,0.803292,True
41,669,554,0.43938,False
42,669,669,0.67036,True
43,41,41,0.771295,True
44,93,254,0.416097,False
45,816,816,0.78764,True
46,816,816,0.767633,True
47,816,816,0.777193,True
48,816,816,0.809185,True
49,816,816,0.864224,True
50,605,605,0.807957,True
51,520,780,0.568411,False
52,520,520,0.704494,True
53,520,520,0.699047,True
54,520,780,0.586448,False
55,520,619,0.546976,False
56,453,453,0.582424,True
57,453,453,0.912261,True
58,453,453,0.791986,True
59,620,620,0.641155,True
60,620,620,0.732332,True
61,620,620,0.607265,True
62,216,216,0.999974,True
63,826,826,1.000053,True
64,49,49,0.95685,True
65,300,300,0.895371,True
66,300,300,0.937403,True
67,300,300,0.914318,True
68,301,301,0.951663,True
69,301,301,0.927477,True
70,148,148,0.875687,True
71,71,71,0.865743,True
72,71,71,0.823937,True
73,106,106,0.513516,True
74,106,106,0.882798,True
75,106,106,0.733737,True
76,106,106,0.876037,True
77,106,106,0.524323,True
78,106,360,0.526531,False
79,106,106,0.601772,True
80,106,106,0.666676,True
81,106,106,0.715534,True
82,106,106,0.573566,True
83,637,637,0.513229,True
84,367,367,0.546046,True
85,674,674,0.906686,True
86,674,674,0.969623,True
87,674,674,0.906686,True
88,674,674,0.969573,True
89,674,674,0.94625,True
90,674,674,0.87633,True
91,674,674,0.92103,True
92,155,155,0.787675,True
93,155,155,0.640402,True
94,91,91,0.838825,True
95,91,91,0.904384,True
96,91,91,0.923181,True
97,91,91,0.943697,True
98,91,91,0.936407,True
99,91,91,0.910033,True
100,37,37,0.906468,True
101,37,37,0.999988,True
102,37,37,0.935542,True
103,37,37,0.902167,True
104,344,344,0.894219,True
105,513,513,0.873968,True
106,513,513,0.898539,True
107,806,367,0.598284,False
108,806,806,0.910639,True
109,806,806,0.595166,True
110,806,806,0.908027,True
111,747,747,0.815859,True
112,17,17,0.728562,True
113,17,17,0.768282,True
114,17,747,0.683262,False
115,489,489,0.96164,True
116,489,489,0.912754,True
117,828,747,0.781939,False
118,828,747,0.737507,False
119,828,828,0.855845,True
120,584,584,0.682234,True
121,436,17,0.607826,False
122,436,17,0.708251,False
123,441,441,0.87877,True
124,441,556,0.548856,False
125,441,747,0.830831,False
126,441,747,0.768917,False
127,441,441,0.927949,True
128,441,17,0.768538,False
129,597,597,0.754162,True
130,597,597,0.749598,True
131,600,600,0.826492,True
132,193,193,0.824936,True
133,193,193,0.891662,True
134,193,193,0.891662,True
135,486,486,0.927305,True
136,486,486,0.949988,True
137,678,678,0.655883,True
138,134,147,0.656603,False
139,134,747,0.691271,False
140,134,134,0.889418,True
141,134,747,0.749958,False
142,147,147,0.794467,True
143,147,147,0.932781,True
144,784,784,0.92574,True
145,607,607,0.786097,True
146,607,607,0.78832,True
147,455,455,0.78057,True
148,6,6,0.912419,True
149,6,271,0.57507,False
150,6,6,0.880111,True
151,6,6,0.908768,True
152,6,6,0.874563,True
153,6,6,0.905519,True
154,6,6,0.848344,True
155,6,6,0.999595,True
156,6,6,0.968526,True
157,6,6,0.998287,True
158,6,6,0.949146,True
159,6,6,0.999754,True
160,6,6,0.996736,True
161,6,6,0.889816,True
162,6,6,0.999957,True
163,30,30,0.737815,True
164,339,30,0.670651,False
165,123,447,0.638271,False
166,123,123,0.777143,True
167,123,123,0.925346,True
168,123,462,0.645767,False
169,123,250,0.62904,False
170,645,645,0.911409,True
171,271,123,0.655958,False
172,271,123,0.66207,False
173,271,123,0.661436,False
174,271,376,0.673774,False
175,271,123,0.713955,False
176,271,123,0.662335,False
177,271,271,0.869303,True
178,462,462,0.903476,True
179,462,462,0.899822,True
180,462,462,0.854005,True
181,462,462,0.923318,True
182,462,462,0.890137,True
183,462,462,0.947106,True
184,462,462,0.754319,True
185,462,462,0.824994,True
186,462,462,0.836417,True
187,462,462,0.877326,True
188,462,462,0.875579,True
189,462,462,0.823759,True
190,250,250,0.789141,True
191,250,250,0.846842,True
192,250,250,0.778053,True
193,250,250,0.831585,True
194,82,82,0.920928,True
195,575,575,0.911838,True
196,174,174,0.629255,True
197,174,174,0.932019,True
198,174,174,0.963534,True
199,174,174,0.94002,True
200,174,174,0.771647,True
201,174,174,0.913754,True
202,174,174,0.933789,True
203,174,174,0.935836,True
204,174,174,0.920054,True
205,174,174,0.892958,True
206,174,174,0.937427,True
207,376,376,0.901329,True
208,376,376,0.92311,True
209,376,376,0.999999,True
210,376,376,0.999999,True
211,69,69,1.000043,True
212,60,60,0.701557,True
213,447,447,0.949621,True
214,447,447,0.949621,True
215,270,117,0.732267,False
216,270,117,0.894176,False
217,270,117,0.773478,False
218,117,117,0.955706,True
219,117,117,0.90365,True
220,212,212,0.912706,True
221,212,212,0.8433,True
222,212,212,0.848918,True
223,212,212,0.874813,True
224,212,212,0.877678,True
225,576,576,0.483408,True
226,576,576,0.658677,True
227,576,660,0.641544,False
228,576,576,0.706946,True
229,576,660,0.664617,False
230,576,660,0.671518,False
231,576,660,0.675758,False
232,576,660,0.641544,False
233,576,576,0.692764,True
234,576,660,0.699184,False
235,576,576,0.63358,True
236,576,660,0.667989,False
237,576,368,0.635891,False
238,576,576,0.667085,True
239,576,660,0.714472,False
240,576,576,0.912928,True
241,576,660,0.68144,False
242,576,368,0.618754,False
243,576,660,0.668682,False
244,576,189,0.643664,False
245,576,660,0.687899,False
246,576,660,0.641544,False
247,576,576,0.912928,True
248,576,576,0.621113,True
249,576,576,0.673016,True
250,576,9,0.663919,False
251,576,660,0.676293,False
252,576,576,0.675477,True
253,9,9,0.911202,True
254,9,9,0.874776,True
255,9,212,0.582101,False
256,9,9,0.881922,True
257,9,9,0.891951,True
258,9,9,0.837919,True
259,9,9,0.910886,True
260,9,9,0.858077,True
261,9,9,0.893224,True
262,9,9,0.920334,True
263,9,368,0.636955,False
264,9,9,0.908785,True
265,9,9,0.885243,True
266,9,9,0.874543,True
267,9,9,0.881425,True
268,719,719,0.889053,True
269,719,719,0.744584,True
270,719,719,0.88486,True
271,719,719,0.92406,True
272,719,719,0.830278,True
273,719,719,0.90287,True
274,719,719,0.83134,True
275,719,719,0.895247,True
276,719,719,0.852486,True
277,719,719,0.921948,True
278,719,719,0.887497,True
279,719,719,0.915909,True
280,719,719,0.807224,True
281,719,719,0.918353,True
282,719,719,0.910221,True
283,719,719,0.892082,True
284,719,719,0.940551,True
285,660,660,0.934691,True
286,660,660,0.849662,True
287,660,660,0.883264,True
288,660,660,0.901258,True
289,660,660,0.901258,True
290,660,660,0.826493,True
291,660,660,0.871556,True
292,660,660,0.770914,True
293,660,660,0.886397,True
294,660,660,0.879516,True
295,660,660,0.915552,True
296,660,660,0.888411,True
297,660,660,0.790137,True
298,660,660,0.699255,True
299,660,660,0.871001,True
300,368,368,0.927687,True
301,368,368,0.833337,True
302,368,368,0.965956,True
303,368,368,0.877889,True
304,368,368,0.924147,True
305,368,368,0.912905,True
306,368,368,0.936825,True
307,368,368,0.91057,True
308,368,99,0.934387,False
309,368,368,0.923694,True
310,368,368,0.950247,True
311,368,368,0.943225,True
312,368,368,0.914909,True
313,368,368,0.812762,True
314,368,368,0.924141,True
315,368,368,0.863264,True
316,368,368,0.91974,True
317,368,368,0.943829,True
318,368,368,0.913325,True
319,368,368,0.946554,True
320,368,368,0.896209,True
321,368,368,0.952305,True
322,368,368,0.91057,True
323,368,368,0.906585,True
324,368,368,0.917326,True
325,368,368,0.849225,True
326,371,371,0.581761,True
327,371,371,0.825195,True
328,371,213,0.361134,False
329,371,371,0.969255,True
330,371,371,0.859275,True
331,371,371,0.808947,True
332,371,371,0.788605,True
333,371,371,0.804671,True
334,371,371,0.779769,True
335,371,371,0.877453,True
336,371,371,0.759791,True
337,371,371,0.856476,True
338,371,371,0.870958,True
339,371,371,0.804536,True
340,371,371,0.81134,True
341,371,371,0.74825,True
342,371,371,0.683237,True
343,371,371,0.745215,True
344,371,371,0.885175,True
345,510,510,0.997912,True
346,508,565,0.631223,False
347,508,508,0.927399,True
348,508,508,0.927399,True
349,189,189,0.734778,True
350,476,476,0.853148,True
351,476,476,0.809062,True
352,476,476,0.983411,True
353,476,476,0.830324,True
354,523,523,0.80009,True
355,565,565,0.890633,True
356,421,421,0.928402,True
357,421,421,0.936209,True
358,421,421,0.944251,True
359,421,421,0.928482,True
360,421,421,0.915892,True
361,421,421,0.944251,True
362,421,421,0.93331,True
363,99,99,0.836405,True
364,99,99,0.845357,True
365,99,99,0.895937,True
366,99,99,0.902744,True
367,99,99,0.835918,True
368,99,99,0.904766,True
369,99,99,0.908963,True
370,99,99,0.834734,True
371,99,99,0.8322,True
372,99,99,0.807739,True
373,99,99,0.855994,True
