gallery_idx,album_label,nn_distance,album_image_count
0,580,0.647235,3
1,254,0.590474,11
2,619,0.634436,2
3,780,0.702735,3
4,490,0.684086,3
5,707,0.619472,12
6,217,0.714761,4
7,48,0.598873,9
8,546,0.660443,2
9,669,0.608407,4
10,41,0.558296,2
11,93,0.687703,2
12,816,0.653127,6
13,605,0.547753,2
14,520,0.613901,6
15,453,0.60994,4
16,620,0.680328,4
17,216,0.581809,2
18,826,0.592497,2
19,49,0.551523,2
20,300,0.609336,4
21,301,0.622133,3
22,148,0.660137,2
23,71,0.577919,3
24,106,0.566479,11
25,637,0.349521,2
26,367,0.5836,2
27,674,0.776106,8
28,155,0.595367,3
29,91,0.776106,7
30,37,0.624946,5
31,344,0.6025,2
32,513,0.660137,3
33,806,0.575678,5
34,747,0.739169,2
35,17,0.717956,4
36,489,0.702161,3
37,828,0.72341,4
38,584,0.619208,2
39,436,0.614695,3
40,441,0.739169,7
41,597,0.54631,3
42,600,0.72341,2
43,193,0.597249,4
44,486,0.70726,3
45,678,0.709129,2
46,134,0.651179,5
47,147,0.731079,3
48,784,0.710243,2
49,607,0.737347,3
50,455,0.585949,2
51,6,0.67146,16
52,30,0.67146,2
53,339,0.604346,2
54,123,0.726085,6
55,645,0.7069,2
56,271,0.502102,8
57,462,0.633585,13
58,250,0.66572,5
59,82,0.663763,2
60,575,0.683093,2
61,174,0.572412,12
62,376,0.685783,5
63,69,0.726085,2
64,60,0.572191,2
65,447,0.656511,3
66,270,0.587212,4
67,117,0.587212,3
68,212,0.623066,6
69,576,0.575424,29
70,9,0.601805,16
71,719,0.622296,18
72,660,0.680617,16
73,368,0.672199,27
74,371,0.584105,20
75,510,0.672199,2
76,508,0.669408,4
77,189,0.641565,2
78,476,0.685472,5
79,523,0.638788,2
80,565,0.583912,2
81,421,0.670604,8
82,99,0.453596,21
83,567,0.393157,3
84,465,0.647674,7
85,616,0.732216,2
86,739,0.65928,6
87,426,0.732216,8
88,680,0.626775,2
89,526,0.638465,8
90,417,0.634955,2
91,618,0.629746,3
92,351,0.681844,4
93,494,0.64254,9
94,111,0.593767,2
95,102,0.567433,2
96,651,0.595795,2
97,192,0.638465,2
98,527,0.622632,3
99,57,0.681844,2
100,734,0.658207,2
101,86,0.540993,4
102,809,0.632709,3
103,146,0.635997,2
104,799,0.590474,12
105,316,0.73967,6
106,636,0.879987,7
107,159,0.767038,5
108,712,0.879987,6
109,248,0.613673,3
110,393,0.598667,2
111,108,0.567117,2
112,768,0.61859,2
113,449,0.632709,2
114,199,0.635997,5
115,125,0.640415,3
116,182,0.732185,3
117,652,0.653906,3
118,233,0.580638,3
119,851,0.60138,2
120,43,0.590361,21
121,225,0.564555,2
122,188,0.485408,8
123,746,0.723423,2
124,440,0.704015,2
125,323,0.652228,4
126,715,0.582014,3
127,109,0.706416,2
128,139,0.690866,3
129,7,0.62075,17
130,655,0.754125,2
131,337,0.533958,8
132,517,0.577615,2
133,352,0.706416,3
134,152,0.705191,21
135,571,0.74614,12
136,480,0.598642,18
137,201,0.656285,4
138,112,0.679053,2
139,738,0.658898,21
140,356,0.618856,2
141,617,0.697353,2
142,435,0.481067,6
143,805,0.697353,2
144,434,0.68387,2
145,305,0.591745,7
146,284,0.57908,14
147,540,0.631511,2
148,399,0.591745,7
149,463,0.598715,12
150,118,0.628167,2
151,306,0.614155,5
152,726,0.614155,10
153,205,0.580658,12
154,97,0.702107,4
155,247,0.660623,2
156,158,0.575809,5
157,446,0.609435,9
158,285,0.702107,2
159,668,0.653127,14
160,280,0.717699,20
161,613,0.557492,12
162,548,0.557208,7
163,664,0.609435,2
164,852,0.907209,6
165,703,0.907209,3
166,731,0.579701,5
167,197,0.579701,3
168,694,0.717699,3
169,609,0.74614,2
170,348,0.591238,41
171,35,0.622576,2
172,641,0.60915,18
173,128,0.629618,30
174,689,0.678742,7
175,357,0.606429,16
176,424,0.678742,16
177,327,0.626297,8
178,377,0.629618,2
179,172,0.604673,3
180,195,0.683091,2
181,232,0.657971,2
182,21,0.556716,2
183,537,0.629489,3
184,438,0.688907,14
185,472,0.56567,11
186,582,0.473896,3
187,634,0.600274,17
188,530,0.649923,2
189,735,0.617571,38
190,481,0.626625,14
191,219,0.622163,14
192,533,0.754125,4
193,593,0.606289,4
194,53,0.622163,2
195,497,0.616891,2
196,124,0.496791,20
197,475,0.692172,2
198,167,0.597052,5
199,534,0.446859,5
200,272,0.692363,6
201,415,0.605597,2
202,420,0.692363,3
203,308,0.692172,2
204,555,0.579641,7
205,559,0.664924,2
206,603,0.56023,2
207,260,0.597023,2
208,315,0.60599,2
209,87,0.632193,2
210,135,0.490007,2
211,304,0.857594,2
212,763,0.857594,2
213,827,0.640099,2
214,778,0.573032,13
215,507,0.598168,7
216,252,0.511531,3
217,264,0.583684,5
218,67,0.622702,10
219,326,0.425979,6
220,522,0.688277,7
221,68,0.592079,7
222,649,0.614695,6
223,825,0.598168,6
224,504,0.629426,5
225,66,0.607649,21
226,355,0.605374,5
227,169,0.602879,9
228,451,0.564464,5
229,776,0.603245,8
230,228,0.515928,17
231,73,0.675219,3
232,404,0.582289,3
233,206,0.538186,8
234,549,0.614361,3
235,422,0.670307,10
236,531,0.588481,4
237,542,0.785934,2
238,752,0.651373,12
239,394,0.670307,2
240,78,0.519511,2
241,191,0.785934,12
242,501,0.626297,2
243,101,0.601022,5
244,244,0.588491,5
245,503,0.572576,2
246,162,0.615673,2
247,783,0.651954,9
248,329,0.638334,19
249,696,0.613934,9
250,710,0.635268,2
251,657,0.390317,2
252,756,0.647908,8
253,389,0.579253,2
254,11,0.690501,3
255,412,0.690501,3
256,830,0.654024,8
257,22,0.633911,7
258,142,0.614637,3
259,38,0.558777,2
260,390,0.561773,8
261,667,0.626674,10
262,518,0.654024,10
263,813,0.741543,2
264,470,0.659391,2
265,411,0.661662,2
266,90,0.605188,2
267,516,0.562008,6
268,223,0.6815,5
269,46,0.874511,2
270,310,0.927071,4
271,171,0.927071,3
272,410,0.606322,2
273,592,0.556686,4
274,442,0.548443,2
275,671,0.787929,23
276,274,0.787929,4
277,181,0.527707,4
278,278,0.460682,10
279,684,0.433028,8
280,239,0.550106,5
281,190,0.652686,3
282,831,0.463473,12
283,625,0.610407,4
284,151,0.557261,3
285,273,0.557209,3
286,627,0.615787,13
287,59,0.629768,2
288,407,0.664472,2
289,353,0.764461,5
290,19,0.56348,18
291,214,0.601766,3
292,36,0.576112,4
293,267,0.620416,2
294,553,0.675316,14
295,289,0.66236,24
296,34,0.604148,3
297,75,0.462792,2
298,133,0.629768,2
299,770,0.545831,9
300,365,0.764461,12
301,628,0.658803,13
302,772,0.63649,2
303,670,0.658646,4
304,850,0.542289,3
305,485,0.637219,5
306,256,0.481454,2
307,439,0.680225,2
308,646,0.587551,4
309,691,0.825545,2
310,626,0.825545,2
311,699,0.568026,3
312,342,0.649648,4
313,363,0.718899,20
314,185,0.718899,2
315,416,0.697207,3
316,732,0.579998,2
317,354,0.751531,15
318,144,0.71778,6
319,677,0.614063,6
320,221,0.57731,5
321,395,0.724993,2
322,795,0.724993,2
323,64,0.751531,3
324,366,0.709472,2
325,314,0.673654,5
326,793,0.615195,12
327,666,0.783921,4
328,429,0.783921,5
329,100,0.689195,2
330,336,0.602123,9
331,550,0.741543,4
332,437,0.676437,8
333,521,0.694488,5
334,612,0.700217,2
335,448,0.690253,5
336,495,0.652385,15
337,154,0.693009,3
338,849,0.711003,2
339,743,0.694488,3
340,160,0.770172,2
341,679,0.690253,8
342,456,0.652401,4
343,84,0.639483,5
344,321,0.770172,3
345,644,0.733182,2
346,423,0.610811,6
347,52,0.605096,30
348,207,0.582286,14
349,681,0.62825,5
350,661,0.563143,9
351,430,0.698115,2
352,777,0.609052,12
353,786,0.619295,7
354,833,0.609052,9
355,303,0.619295,2
356,591,0.581773,14
357,755,0.652599,7
358,804,0.652599,11
359,33,0.62347,3
360,714,0.561701,26
361,535,0.610029,17
362,598,0.570017,9
363,662,0.693749,2
364,443,0.693749,3
365,473,0.601477,2
366,397,0.576577,2
367,639,0.63911,3
368,515,0.63911,4
369,698,0.545555,3
370,769,0.578402,4
371,563,0.598765,2
372,528,0.567986,5
373,385,0.608435,2
374,58,0.820066,4
375,853,0.820066,2
376,413,0.599911,2
377,176,0.46447,27
378,750,0.67893,5
379,524,0.67893,3
380,414,0.626625,9
381,560,0.599171,2
382,532,0.677777,2
383,717,0.659807,2
384,281,0.869147,6
385,589,0.629068,23
386,261,0.628073,3
387,178,0.685159,32
388,693,0.706453,11
389,723,0.623672,26
390,821,0.796041,50
391,842,0.690866,31
392,836,0.636422,26
393,198,0.703631,20
394,204,0.796041,10
395,785,0.869147,5
396,20,0.632285,3
397,335,0.753512,2
398,80,0.733878,3
399,249,0.729821,2
400,622,0.734314,2
401,794,0.701555,2
402,803,0.711297,2
403,398,0.680339,7
404,251,0.734314,2
405,268,0.662871,3
406,817,0.662398,2
407,266,0.652424,4
408,721,0.704361,4
409,39,0.625072,2
410,431,0.591979,2
411,487,0.753512,3
412,322,0.61443,2
413,789,0.615535,2
414,840,0.710269,11
415,227,0.638809,3
416,631,0.547123,2
417,226,0.685555,2
418,279,0.657601,4
419,759,0.589489,3
420,469,0.536097,3
421,275,0.673246,2
422,334,0.64445,2
423,700,0.685555,2
424,165,0.638809,5
425,724,0.621782,2
426,708,0.66813,2
427,173,0.610133,10
428,812,0.673246,3
429,202,0.710398,8
430,844,0.546799,2
431,286,0.643352,23
432,841,0.497161,3
433,127,0.566117,3
434,748,0.651573,2
435,81,0.652505,39
436,725,0.62394,2
437,672,0.589983,18
438,187,0.612583,35
439,372,0.698994,2
440,375,0.702643,2
441,566,0.579054,35
442,145,0.69054,2
443,92,0.636999,4
444,253,0.540184,3
445,547,0.698994,2
446,340,0.638334,8
447,709,0.62394,4
448,246,0.686267,5
449,15,0.622324,12
450,642,0.667658,30
451,137,0.711445,2
452,727,0.558369,2
453,736,0.716507,2
454,24,0.696196,13
455,682,0.568901,6
456,283,0.720704,3
457,744,0.633781,3
458,492,0.637276,2
459,427,0.703503,2
460,588,0.720704,2
461,471,0.711322,19
462,391,0.686267,2
463,89,0.688277,6
464,673,0.655771,3
465,297,0.539174,4
466,635,0.602759,3
467,96,0.710685,2
468,418,0.713005,2
469,484,0.619375,2
470,733,0.70846,2
471,753,0.629629,2
472,358,0.598284,3
473,121,0.755315,7
474,343,0.619375,2
475,461,0.696122,2
476,299,0.743203,2
477,140,0.755315,2
478,581,0.716634,2
479,583,0.742938,2
480,126,0.637709,2
481,460,0.742977,2
482,294,0.520598,4
483,381,0.616342,19
484,663,0.630047,6
485,12,0.640852,14
486,70,0.574335,3
487,787,0.722458,34
488,648,0.722458,2
489,468,0.604425,15
490,848,0.499983,2
491,614,0.76577,4
492,290,0.76577,4
493,690,0.617505,2
494,808,0.583007,19
495,544,0.478217,14
496,150,0.567746,4
497,498,0.654272,2
498,0,0.639417,3
499,211,0.625541,15
500,539,0.695404,26
501,132,0.65602,19
502,823,0.616223,4
503,42,0.683246,8
504,773,0.990146,3
505,615,0.591953,5
506,269,0.990146,2
507,378,0.577605,2
508,61,0.695404,3
509,116,0.644428,3
510,606,0.54895,7
511,156,0.601642,5
512,382,0.667498,2
513,824,0.616169,2
514,5,0.643654,2
515,742,0.610562,2
516,45,0.561472,6
517,765,0.591277,3
518,506,0.432,12
519,94,0.707826,14
520,208,0.506438,10
521,586,0.55963,2
522,245,0.55963,13
523,464,0.692626,8
524,157,0.54642,2
525,203,0.626148,4
526,346,0.553804,4
527,643,0.600072,18
528,796,0.598074,2
529,330,0.466665,2
530,312,0.615253,2
531,119,0.582575,2
532,767,0.536311,26
533,482,0.545381,4
534,676,0.648337,6
535,180,0.876076,2
536,512,0.876076,4
537,55,0.670962,9
538,113,0.641565,10
539,401,0.579356,5
540,811,0.606314,4
541,425,0.613007,9
542,200,0.650822,3
543,85,0.632178,2
544,224,0.708616,2
545,632,0.645564,2
546,54,0.716753,2
547,77,0.716753,2
548,383,0.653309,13
549,728,0.999614,38
550,10,0.530933,9
551,153,0.636874,2
552,519,0.662624,2
553,749,0.666378,2
554,350,0.666378,4
555,104,0.636203,3
556,790,0.633666,24
557,259,0.588906,3
558,835,0.541359,35
559,572,0.999614,2
560,822,0.606164,2
561,458,0.529283,2
562,466,0.614989,31
563,347,0.610003,4
564,400,0.587357,9
565,543,0.630582,3
566,369,0.608014,2
567,459,0.641301,3
568,845,0.567897,8
569,76,0.684459,3
570,608,0.617575,29
571,345,0.675979,2
572,149,0.621179,3
573,579,0.664695,17
574,502,0.517127,5
575,659,0.641301,25
576,114,0.557455,2
577,29,0.684907,33
578,258,0.684459,18
579,396,0.502568,2
580,110,0.702643,2
581,265,0.618685,3
582,445,0.719128,9
583,578,0.56271,6
584,166,0.647908,17
585,4,0.67492,2
586,370,0.649574,14
587,536,0.649574,2
588,843,0.895457,3
589,730,0.895457,20
590,2,0.652028,21
591,50,0.719128,2
592,505,0.622102,4
593,741,0.622102,2
594,551,0.684309,7
595,500,0.533535,3
596,467,0.513688,6
597,718,0.729674,3
598,558,0.729674,3
599,525,0.532021,2
600,585,0.914982,8
601,511,0.914982,7
602,554,0.541596,9
603,564,0.704975,2
604,243,0.635,3
605,766,0.633299,2
606,633,0.610646,2
607,577,0.661154,2
608,175,0.630754,2
609,296,0.429149,3
610,779,0.681688,2
611,654,0.663098,2
612,333,0.607494,10
613,292,0.671996,2
614,161,0.620917,2
615,509,0.43075,2
616,318,0.658762,2
617,561,0.658623,2
618,815,0.667284,2
619,444,0.5804,5
620,837,0.540046,4
621,56,0.663217,2
622,218,0.593487,14
623,242,0.583272,2
624,800,0.653866,4
625,325,0.673562,6
626,373,0.655353,2
627,538,0.507773,16
628,764,0.603784,6
629,138,0.714303,6
630,810,0.714303,4
631,210,0.544289,6
632,457,0.650441,2
633,230,0.672418,2
634,62,0.661778,4
635,364,0.686418,2
636,184,0.603784,2
637,263,0.695624,2
638,328,0.634765,2
639,237,0.672387,2
640,658,0.555354,38
641,196,0.557368,9
642,362,0.660819,4
643,287,0.619756,5
644,798,0.582221,14
645,573,0.494422,14
646,28,0.599318,2
647,428,0.599318,4
648,255,0.541608,2
649,164,0.613482,2
650,44,0.628331,11
651,687,0.660819,8
652,402,0.599768,4
653,761,0.571904,16
654,63,0.57916,3
655,624,0.514277,4
656,65,0.650028,2
657,359,0.634677,2
658,209,0.605033,5
659,240,0.576691,12
660,40,0.553825,2
661,47,0.737159,6
662,107,0.642352,9
663,98,0.650974,3
664,51,0.709403,4
665,83,0.737159,6
666,16,0.650974,4
667,630,0.680823,5
668,234,0.618167,7
669,695,0.690911,4
670,854,0.723423,5
671,601,0.583541,7
672,647,0.634914,2
673,775,0.652686,12
674,788,0.599821,7
675,774,0.538484,17
676,656,0.545516,11
677,291,0.672195,2
678,706,0.516373,2
679,599,0.57744,2
680,478,0.707749,2
681,514,0.667357,3
682,675,0.575564,3
683,545,0.699538,2
684,405,0.707749,4
685,320,0.597965,3
686,602,0.599108,11
687,295,0.733792,3
688,179,0.588613,2
689,143,0.698942,2
690,331,0.698942,2
691,26,0.621488,2
692,751,0.621488,2
693,638,0.598122,3
694,235,0.665464,4
695,141,0.643705,6
696,629,0.648643,4
697,32,0.652215,6
698,557,0.566054,5
699,360,0.540048,6
700,740,0.59341,2
701,74,0.595357,35
702,745,0.549309,2
703,483,0.604646,2
704,324,0.577493,13
705,477,0.563368,17
706,72,0.652028,7
707,604,0.526143,2
708,762,0.697095,9
709,419,0.673056,2
710,408,0.697095,8
711,781,0.684907,8
712,194,0.599148,2
713,293,0.604692,5
714,3,0.647755,16
715,392,0.65253,30
716,136,0.826083,22
717,14,0.573388,2
718,650,0.67009,8
719,683,0.764764,28
720,8,0.707826,43
721,213,0.603966,2
722,379,0.653907,2
723,488,0.615519,3
724,832,0.721967,2
725,838,0.784115,20
726,319,0.826083,13
727,183,0.608195,2
728,814,0.725512,2
729,754,0.698715,17
730,341,0.615538,2
731,569,0.605531,4
732,562,0.58763,4
733,705,0.645386,3
734,782,0.678347,5
735,95,0.679237,9
736,737,0.676346,2
737,491,0.597981,2
738,729,0.719612,3
739,231,0.409504,8
740,713,0.63616,2
741,452,0.550329,9
742,819,0.65308,11
743,88,0.553755,8
744,332,0.634474,4
745,307,0.752113,5
746,797,0.664827,4
747,262,0.752113,3
748,556,0.580204,2
749,610,0.571092,2
750,31,0.634403,4
751,568,0.626674,4
752,120,0.693389,25
753,349,0.7069,2
754,574,0.548181,13
755,701,0.714761,29
756,839,0.704792,4
757,388,0.485678,10
758,758,0.492627,6
759,18,0.457221,3
760,692,0.648751,14
761,380,0.665049,2
762,802,0.565155,26
763,493,0.587648,3
764,552,0.611554,2
765,282,0.641817,4
766,1,0.665049,4
767,432,0.527648,2
768,704,0.668819,3
769,771,0.635084,2
770,238,0.667038,2
771,27,0.738126,3
772,302,0.498017,2
773,688,0.695453,2
774,361,0.642173,2
775,818,0.738126,2
776,685,0.631729,4
777,587,0.640415,2
778,168,0.589125,2
779,406,0.664058,9
780,760,0.644207,2
781,23,0.687866,2
782,834,0.548031,2
783,596,0.633585,8
784,499,0.630343,2
785,450,0.607718,15
786,163,0.523685,12
787,529,0.644207,2
788,595,0.515332,3
789,25,0.746791,2
790,801,0.606368,12
791,757,0.669629,10
792,846,0.746791,3
793,215,0.571431,2
794,241,0.529521,3
795,130,0.655771,3
796,541,0.405661,2
797,257,0.728276,5
798,170,0.728276,2
799,686,0.685184,3
800,454,0.442312,2
801,792,0.669408,2
802,433,0.685184,2
803,177,0.630674,2
804,309,0.618361,3
805,220,0.676031,2
806,186,0.566181,2
807,276,0.725105,2
808,653,0.725105,2
809,313,0.733792,19
810,820,0.610263,9
811,13,0.709403,4
812,623,0.499464,3
813,640,0.513839,15
814,105,0.38789,2
815,129,0.676031,3
816,807,0.505624,2
817,611,0.589583,3
818,716,0.647076,3
819,115,0.587943,9
820,829,0.608872,3
821,384,0.652215,4
822,387,0.584694,2
823,479,0.630838,4
824,386,0.654272,4
825,570,0.62898,3
826,79,0.657745,3
827,222,0.86521,2
828,590,0.630838,3
829,288,0.657745,2
830,697,0.579356,5
831,131,0.668716,3
832,409,0.724572,3
833,594,0.724572,2
834,621,0.698115,2
835,722,0.685406,2
836,317,0.633666,3
837,298,0.86521,2
838,702,0.919115,8
839,403,0.919115,2
840,791,0.648666,2
841,374,0.704543,2
842,229,0.507409,3
843,665,0.634506,6
844,711,0.619253,2
845,103,0.704543,2
846,720,0.550106,15
847,847,0.468151,3
848,122,0.652061,4
849,311,0.675223,3
850,277,0.623116,2
851,474,0.570258,9
852,338,0.606118,3
853,236,0.907569,13
854,496,0.907569,3
