query_idx,query_label,top1_label,top1_score,correct
0,580,48,0.617795,False
1,580,580,0.688561,True
2,254,254,0.876105,True
3,254,254,0.881749,True
4,254,254,0.811452,True
5,254,254,0.89074,True
6,254,254,0.832913,True
7,254,254,0.816836,True
8,254,254,0.77357,True
9,254,254,0.802706,True
10,254,254,0.69327,True
11,254,254,0.83208,True
12,619,619,0.463741,True
13,780,701,0.569249,False
14,780,780,0.88844,True
15,490,490,0.785936,True
16,490,490,0.645868,True
17,707,93,0.801703,False
18,707,780,0.727875,False
19,707,707,0.72915,True
20,707,707,0.79432,True
21,707,707,0.780013,True
22,707,780,0.617405,False
23,707,93,0.68663,False
24,707,780,0.744849,False
25,707,707,0.71512,True
26,707,93,0.646578,False
27,707,707,0.728895,True
28,217,217,0.839729,True
29,217,217,0.948003,True
30,217,217,0.91996,True
31,48,48,0.620161,True
32,48,780,0.628753,False
33,48,48,0.709142,True
34,48,48,0.52722,True
35,48,695,0.713165,False
36,48,780,0.677266,False
37,48,48,0.762668,True
38,48,780,0.681556,False
39,546,546,0.834972,True
40,669,669,0.924787,True
41,669,209,0.530118,False
42,669,669,0.874176,True
43,41,41,0.799619,True
44,93,670,0.57651,False
45,816,816,0.855523,True
46,816,816,0.815945,True
47,816,816,0.861528,True
48,816,816,0.812347,True
49,816,816,0.871112,True
50,605,605,0.78409,True
51,520,619,0.63037,False
52,520,520,0.687109,True
53,520,93,0.765495,False
54,520,780,0.620415,False
55,520,780,0.671262,False
56,453,453,0.63559,True
57,453,453,0.908268,True
58,453,453,0.766898,True
59,620,620,0.833503,True
60,620,620,0.875676,True
61,620,620,0.844695,True
62,216,216,0.999954,True
63,826,826,0.999751,True
64,49,49,0.922145,True
65,300,300,0.771308,True
66,300,300,0.892776,True
67,300,300,0.845611,True
68,301,301,0.944854,True
69,301,301,0.899149,True
70,148,148,0.793302,True
71,71,71,0.756927,True
72,71,71,0.732414,True
73,106,106,0.606533,True
74,106,106,0.91378,True
75,106,106,0.822893,True
76,106,106,0.909415,True
77,106,813,0.552748,False
78,106,195,0.679772,False
79,106,414,0.588057,False
80,106,106,0.646165,True
81,106,106,0.811858,True
82,106,386,0.622257,False
83,637,511,0.588811,False
84,367,618,0.55937,False
85,674,674,0.897363,True
86,674,674,0.936488,True
87,674,674,0.897363,True
88,674,674,0.91629,True
89,674,674,0.950815,True
90,674,674,0.873012,True
91,674,674,0.94596,True
92,155,155,0.860212,True
93,155,155,0.845109,True
94,91,91,0.768266,True
95,91,91,0.858505,True
96,91,91,0.895388,True
97,91,91,0.890993,True
98,91,91,0.848606,True
99,91,91,0.819804,True
100,37,37,0.942561,True
101,37,37,1.000145,True
102,37,37,0.945038,True
103,37,37,0.8996,True
104,344,344,0.843862,True
105,513,513,0.87627,True
106,513,513,0.943962,True
107,806,806,0.845326,True
108,806,806,0.94741,True
109,806,806,0.720967,True
110,806,806,0.924412,True
111,747,747,0.733259,True
112,17,17,0.555759,True
113,17,17,0.842898,True
114,17,747,0.762728,False
115,489,489,0.942569,True
116,489,489,0.856895,True
117,828,828,0.785371,True
118,828,828,0.852635,True
119,828,828,0.893894,True
120,584,584,0.67092,True
121,436,436,0.702609,True
122,436,436,0.724789,True
123,441,441,0.882251,True
124,441,8,0.653124,False
125,441,747,0.761591,False
126,441,747,0.793426,False
127,441,441,0.902241,True
128,441,486,0.606699,False
129,597,597,0.678771,True
130,597,597,0.741236,True
131,600,600,0.776162,True
132,193,193,0.925823,True
133,193,193,0.919123,True
134,193,193,0.919123,True
135,486,486,0.841865,True
136,486,486,0.940571,True
137,678,678,0.695408,True
138,134,134,0.66576,True
139,134,486,0.598562,False
140,134,134,0.861845,True
141,134,140,0.637556,False
142,147,147,0.862813,True
143,147,147,0.968966,True
144,784,784,0.929544,True
145,607,607,0.828669,True
146,607,607,0.822587,True
147,455,455,0.679807,True
148,6,6,0.89683,True
149,6,339,0.610392,False
150,6,271,0.591104,False
151,6,6,0.818382,True
152,6,6,0.775637,True
153,6,6,0.83252,True
154,6,6,0.823245,True
155,6,6,0.998061,True
156,6,6,0.944493,True
157,6,6,0.993389,True
158,6,6,0.847602,True
159,6,6,0.980794,True
160,6,6,0.983184,True
161,6,6,0.902024,True
162,6,6,1.000271,True
163,30,30,0.829195,True
164,339,30,0.756604,False
165,123,123,0.460972,True
166,123,376,0.633178,False
167,123,123,0.842049,True
168,123,250,0.635485,False
169,123,462,0.611549,False
170,645,645,0.864702,True
171,271,376,0.703974,False
172,271,271,0.711713,True
173,271,271,0.800666,True
174,271,271,0.791064,True
175,271,271,0.725595,True
176,271,271,0.706644,True
177,271,271,0.752632,True
178,462,462,0.823122,True
179,462,462,0.864974,True
180,462,462,0.914374,True
181,462,462,0.921647,True
182,462,462,0.824921,True
183,462,462,0.928281,True
184,462,462,0.804732,True
185,462,462,0.644074,True
186,462,462,0.881675,True
187,462,462,0.802257,True
188,462,462,0.851631,True
189,462,462,0.790381,True
190,250,250,0.851691,True
191,250,250,0.82529,True
192,250,250,0.847873,True
193,250,250,0.830587,True
194,82,82,0.953719,True
195,575,575,0.876041,True
196,174,174,0.635506,True
197,174,174,0.909934,True
198,174,174,0.916932,True
199,174,174,0.951139,True
200,174,174,0.753184,True
201,174,174,0.89051,True
202,174,174,0.933127,True
203,174,174,0.90292,True
204,174,174,0.910544,True
205,174,174,0.896281,True
206,174,174,0.912816,True
207,376,376,0.920921,True
208,376,376,0.945471,True
209,376,376,1.000214,True
210,376,376,1.000214,True
211,69,69,1.000108,True
212,60,60,0.782018,True
213,447,447,0.950635,True
214,447,447,0.950635,True
215,270,270,0.669614,True
216,270,117,0.826169,False
217,270,117,0.751405,False
218,117,117,0.83593,True
219,117,117,0.812618,True
220,212,212,0.906209,True
221,212,212,0.873117,True
222,212,212,0.855514,True
223,212,212,0.84042,True
224,212,212,0.814233,True
225,576,9,0.513077,False
226,576,576,0.672998,True
227,576,576,0.523043,True
228,576,576,0.669119,True
229,576,576,0.544882,True
230,576,576,0.535532,True
231,576,576,0.54754,True
232,576,576,0.523043,True
233,576,576,0.593167,True
234,576,313,0.710299,False
235,576,189,0.659958,False
236,576,576,0.565876,True
237,576,212,0.610649,False
238,576,576,0.532921,True
239,576,313,0.726555,False
240,576,576,0.865873,True
241,576,576,0.576016,True
242,576,421,0.590699,False
243,576,576,0.511878,True
244,576,313,0.535865,False
245,576,189,0.552361,False
246,576,576,0.523043,True
247,576,576,0.865873,True
248,576,576,0.522426,True
249,576,8,0.676492,False
250,576,109,0.651908,False
251,576,667,0.694468,False
252,576,8,0.729083,False
253,9,9,0.775206,True
254,9,9,0.825431,True
255,9,621,0.631436,False
256,9,9,0.725821,True
257,9,9,0.735792,True
258,9,421,0.722251,False
259,9,9,0.721751,True
260,9,9,0.786582,True
261,9,9,0.711967,True
262,9,9,0.859534,True
263,9,510,0.531817,False
264,9,9,0.706087,True
265,9,9,0.877769,True
266,9,508,0.709455,False
267,9,9,0.831733,True
268,719,719,0.849841,True
269,719,719,0.834393,True
270,719,719,0.855531,True
271,719,719,0.886899,True
272,719,719,0.854841,True
273,719,719,0.898869,True
274,719,719,0.859,True
275,719,719,0.877116,True
276,719,719,0.841977,True
277,719,719,0.894823,True
278,719,719,0.860817,True
279,719,719,0.902276,True
280,719,719,0.818662,True
281,719,719,0.896786,True
282,719,719,0.898669,True
283,719,719,0.892537,True
284,719,719,0.9114,True
285,660,660,0.958374,True
286,660,660,0.829245,True
287,660,660,0.888296,True
288,660,660,0.861104,True
289,660,660,0.861104,True
290,660,660,0.78801,True
291,660,660,0.831985,True
292,660,660,0.660003,True
293,660,660,0.907196,True
294,660,660,0.910583,True
295,660,660,0.889656,True
296,660,660,0.888513,True
297,660,660,0.72689,True
298,660,660,0.708475,True
299,660,660,0.853304,True
300,368,368,0.919298,True
301,368,368,0.845112,True
302,368,368,0.961779,True
303,368,368,0.887475,True
304,368,368,0.921966,True
305,368,368,0.768454,True
306,368,368,0.760463,True
307,368,368,0.878017,True
308,368,99,0.791034,False
309,368,368,0.900276,True
310,368,368,0.934109,True
311,368,368,0.86785,True
312,368,368,0.868039,True
313,368,368,0.84305,True
314,368,368,0.818068,True
315,368,368,0.833675,True
316,368,368,0.905029,True
317,368,368,0.877984,True
318,368,368,0.86061,True
319,368,368,0.898019,True
320,368,368,0.871876,True
321,368,368,0.906284,True
322,368,368,0.878017,True
323,368,368,0.880173,True
324,368,368,0.8711,True
325,368,368,0.664548,True
326,371,371,0.771531,True
327,371,371,0.824284,True
328,371,371,0.670718,True
329,371,371,0.986324,True
330,371,371,0.871099,True
331,371,371,0.893448,True
332,371,371,0.843551,True
333,371,371,0.826984,True
334,371,371,0.88312,True
335,371,371,0.867217,True
336,371,371,0.819361,True
337,371,371,0.880661,True
338,371,371,0.887673,True
339,371,371,0.894804,True
340,371,371,0.858743,True
341,371,371,0.821158,True
342,371,371,0.800195,True
343,371,371,0.829582,True
344,371,371,0.91878,True
345,510,510,0.998599,True
346,508,508,0.734964,True
347,508,508,0.9188,True
348,508,508,0.9188,True
349,189,189,0.743369,True
350,476,476,0.870426,True
351,476,476,0.877357,True
352,476,476,0.977094,True
353,476,476,0.887978,True
354,523,523,0.839258,True
355,565,565,0.818839,True
356,421,421,0.9478,True
357,421,421,0.880081,True
358,421,421,0.908196,True
359,421,421,0.94415,True
360,421,421,0.868916,True
361,421,421,0.908196,True
362,421,421,0.948685,True
363,99,99,0.792208,True
364,99,99,0.687723,True
