gallery_idx,album_label,nn_distance,album_image_count
0,580,0.272108,3
1,254,0.195614,11
2,619,0.263057,2
3,780,0.279016,3
4,490,0.434416,3
5,707,0.636893,12
6,217,0.1802,4
7,48,0.636893,9
8,546,0.257042,2
9,669,0.171394,4
10,41,0.152809,2
11,93,0.306754,2
12,816,0.149276,6
13,605,0.192763,2
14,520,0.236924,6
15,453,0.330487,4
16,620,0.270614,4
17,216,0.203308,2
18,826,0.255385,2
19,49,0.222563,2
20,300,0.21582,4
21,301,0.241264,3
22,148,0.16306,2
23,71,0.230243,3
24,106,0.197004,11
25,637,0.30198,2
26,367,0.186728,2
27,674,0.195036,8
28,155,0.196442,3
29,91,0.208958,7
30,37,0.232394,5
31,344,0.277549,2
32,513,0.154051,3
33,806,0.193844,5
34,747,0.249161,2
35,17,0.232421,4
36,489,0.238441,3
37,828,0.211965,4
38,584,0.224722,2
39,436,0.200326,3
40,441,0.237076,7
41,597,0.164365,3
42,600,0.176678,2
43,193,0.230796,4
44,486,0.246459,3
45,678,0.306854,2
46,134,0.216227,5
47,147,0.210979,3
48,784,0.188773,2
49,607,0.196801,3
50,455,0.210979,2
51,6,0.192588,16
52,30,0.212427,2
53,339,0.28216,2
54,123,0.30198,6
55,645,0.357837,2
56,271,0.173142,8
57,462,0.202663,13
58,250,0.198243,5
59,82,0.198733,2
60,575,0.161871,2
61,174,0.169434,12
62,376,0.195188,5
63,69,0.160921,2
64,60,0.269806,2
65,447,0.218221,3
66,270,0.404906,4
67,117,0.404906,3
68,212,0.223453,6
69,576,0.210649,29
70,9,0.311467,16
71,719,0.207107,18
72,660,0.218321,16
73,368,0.242129,27
74,371,0.269295,20
75,510,0.216603,2
76,508,0.179233,4
77,189,0.182176,2
78,476,0.229954,5
79,523,0.182176,2
80,565,0.218703,2
81,421,0.234576,8
82,99,0.181308,21
83,567,0.240732,3
84,465,0.218102,7
85,616,0.296606,2
86,739,0.212658,6
87,426,0.296606,8
88,680,0.214248,2
89,526,0.277549,8
90,417,0.273945,2
91,618,0.234359,3
92,351,0.275852,4
93,494,0.158799,9
94,111,0.225146,2
95,102,0.219023,2
96,651,0.19663,2
97,192,0.26475,2
98,527,0.21619,3
99,57,0.275852,2
100,734,0.263626,2
101,86,0.212161,4
102,809,0.34846,3
103,146,0.193078,2
104,799,0.205389,12
105,316,0.221805,6
106,636,0.340808,7
107,159,0.300711,5
108,712,0.340808,6
109,248,0.185338,3
110,393,0.185085,2
111,108,0.223303,2
112,768,0.243679,2
113,449,0.211611,2
114,199,0.15353,5
115,125,0.195301,3
116,182,0.223303,3
117,652,0.34846,3
118,233,0.298091,3
119,851,0.19472,2
120,43,0.20081,21
121,225,0.193419,2
122,188,0.239941,8
123,746,0.204184,2
124,440,0.20555,2
125,323,0.293342,4
126,715,0.322234,3
127,109,0.18387,2
128,139,0.222563,3
129,7,0.243745,17
130,655,0.224705,2
131,337,0.252751,8
132,517,0.187559,2
133,352,0.223413,3
134,152,0.209934,21
135,571,0.18354,12
136,480,0.17237,18
137,201,0.198807,4
138,112,0.190698,2
139,738,0.174871,21
140,356,0.171821,2
141,617,0.215093,2
142,435,0.276229,6
143,805,0.258987,2
144,434,0.247669,2
145,305,0.21628,7
146,284,0.27761,14
147,540,0.262665,2
148,399,0.234958,7
149,463,0.182512,12
150,118,0.174632,2
151,306,0.158554,5
152,726,0.176272,10
153,205,0.286255,12
154,97,0.358114,4
155,247,0.242129,2
156,158,0.206652,5
157,446,0.202794,9
158,285,0.286255,2
159,668,0.236205,14
160,280,0.358114,20
161,613,0.20462,12
162,548,0.153833,7
163,664,0.190897,2
164,852,0.849231,6
165,703,0.849231,3
166,731,0.182679,5
167,197,0.216807,3
168,694,0.222539,3
169,609,0.188238,2
170,348,0.228255,41
171,35,0.204325,2
172,641,0.209468,18
173,128,0.260948,30
174,689,0.262226,7
175,357,0.211969,16
176,424,0.266863,16
177,327,0.21017,8
178,377,0.225134,2
179,172,0.262226,3
180,195,0.207965,2
181,232,0.228596,2
182,21,0.227803,2
183,537,0.173441,3
184,438,0.236096,14
185,472,0.175388,11
186,582,0.212658,3
187,634,0.217834,17
188,530,0.177965,2
189,735,0.151834,38
190,481,0.23744,14
191,219,0.201602,14
192,533,0.274276,4
193,593,0.168826,4
194,53,0.265149,2
195,497,0.378716,2
196,124,0.229856,20
197,475,0.208312,2
198,167,0.207368,5
199,534,0.226531,5
200,272,0.300216,6
201,415,0.238318,2
202,420,0.214582,3
203,308,0.224513,2
204,555,0.239054,7
205,559,0.271055,2
206,603,0.213268,2
207,260,0.203162,2
208,315,0.218822,2
209,87,0.300216,2
210,135,0.196606,2
211,304,0.827304,2
212,763,0.827304,2
