query_idx,query_label,top1_label,top1_score,correct
0,580,349,0.23166,False
1,580,435,0.290292,False
2,254,254,0.774122,True
3,254,254,0.682139,True
4,254,254,0.73984,True
5,254,254,0.701033,True
6,254,254,0.779263,True
7,254,254,0.6144,True
8,254,254,0.701445,True
9,254,254,0.732604,True
10,254,254,0.54664,True
11,254,254,0.735811,True
12,619,213,0.314304,False
13,780,693,0.177985,False
14,780,780,0.804913,True
15,490,490,0.806448,True
16,490,645,0.250708,False
17,707,93,0.75183,False
18,707,514,0.27337,False
19,707,490,0.389665,False
20,707,707,0.383064,True
21,707,349,0.311141,False
22,707,366,0.258568,False
23,707,490,0.281182,False
24,707,514,0.250746,False
25,707,707,0.32225,True
26,707,754,0.417181,False
27,707,349,0.315754,False
28,217,217,0.513638,True
29,217,217,0.886732,True
30,217,217,0.8486,True
31,48,490,0.295511,False
32,48,838,0.236494,False
33,48,490,0.296996,False
34,48,707,0.728004,False
35,48,311,0.20214,False
36,48,364,0.222235,False
37,48,707,0.390598,False
38,48,257,0.247584,False
39,546,546,0.469278,True
40,669,669,0.855404,True
41,669,590,0.152549,False
42,669,669,0.73558,True
43,41,41,0.781342,True
44,93,353,0.216825,False
45,816,816,0.761993,True
46,816,816,0.580059,True
47,816,816,0.750877,True
48,816,816,0.693208,True
49,816,816,0.71685,True
50,605,605,0.725073,True
51,520,718,0.24978,False
52,520,48,0.4918,False
53,520,93,0.670579,False
54,520,467,0.201506,False
55,520,485,0.209794,False
56,453,43,0.178986,False
57,453,453,0.858591,True
58,453,453,0.825822,True
59,620,620,0.646859,True
60,620,620,0.673585,True
61,620,620,0.634522,True
62,216,216,1.000003,True
63,826,826,1.000051,True
64,49,49,0.8648,True
65,300,300,0.757997,True
66,300,300,0.899697,True
67,300,300,0.864229,True
68,301,301,0.857874,True
69,301,301,0.834869,True
70,148,148,0.87082,True
71,71,71,0.727052,True
72,71,71,0.698997,True
73,106,124,0.189649,False
74,106,106,0.832927,True
75,106,106,0.735911,True
76,106,106,0.800326,True
77,106,358,0.152981,False
78,106,17,0.183573,False
79,106,540,0.236108,False
80,106,106,0.438279,True
81,106,226,0.189598,False
82,106,540,0.235349,False
83,637,328,0.250561,False
84,367,428,0.200477,False
85,674,674,0.637823,True
86,674,674,0.735109,True
87,674,674,0.637823,True
88,674,674,0.730165,True
89,674,674,0.679693,True
90,674,674,0.542702,True
91,674,674,0.65566,True
92,155,155,0.861342,True
93,155,155,0.767048,True
94,91,91,0.456906,True
95,91,91,0.368309,True
96,91,91,0.508479,True
97,91,91,0.74046,True
98,91,91,0.542307,True
99,91,91,0.546885,True
100,37,37,0.79452,True
101,37,37,0.999993,True
102,37,37,0.878476,True
103,37,37,0.832285,True
104,344,344,0.445455,True
105,513,513,0.873984,True
106,513,513,0.919271,True
107,806,806,0.755721,True
108,806,806,0.860156,True
109,806,806,0.751872,True
110,806,806,0.858746,True
111,747,739,0.207851,False
112,17,630,0.238004,False
113,17,17,0.666806,True
114,17,721,0.237915,False
115,489,489,0.922366,True
116,489,489,0.849793,True
117,828,828,0.708209,True
118,828,828,0.800236,True
119,828,828,0.847833,True
120,584,584,0.741373,True
121,436,436,0.525363,True
122,436,436,0.502341,True
123,441,441,0.735637,True
124,441,40,0.206889,False
125,441,581,0.194255,False
126,441,558,0.268962,False
127,441,441,0.825635,True
128,441,277,0.293074,False
129,597,597,0.464112,True
130,597,597,0.548302,True
131,600,600,0.692513,True
132,193,193,0.906727,True
133,193,193,0.854581,True
134,193,193,0.854581,True
135,486,486,0.877801,True
136,486,486,0.908277,True
137,678,461,0.242814,False
