query_idx,query_label,top1_label,top1_score,correct
0,580,349,0.558651,False
1,580,435,0.528967,False
2,254,254,0.877557,True
3,254,254,0.928397,True
4,254,254,0.925395,True
5,254,254,0.909744,True
6,254,254,0.915254,True
7,254,254,0.913991,True
8,254,254,0.769716,True
9,254,254,0.760207,True
10,254,254,0.787383,True
11,254,254,0.821277,True
12,619,198,0.516351,False
13,780,743,0.540235,False
14,780,780,0.957923,True
15,490,490,0.911302,True
16,490,151,0.52995,False
17,707,93,0.886376,False
18,707,580,0.601325,False
19,707,48,0.629394,False
20,707,707,0.560585,True
21,707,349,0.681356,False
22,707,580,0.498846,False
23,707,490,0.579009,False
24,707,580,0.615736,False
25,707,645,0.607234,False
26,707,48,0.614223,False
27,707,349,0.667208,False
28,217,217,0.801453,True
29,217,217,0.890573,True
30,217,217,0.957841,True
31,48,754,0.635649,False
32,48,379,0.561562,False
33,48,48,0.723898,True
34,48,48,0.893395,True
35,48,455,0.522326,False
36,48,445,0.605064,False
37,48,48,0.558799,True
38,48,266,0.565446,False
39,546,546,0.623782,True
40,669,669,0.962607,True
41,669,309,0.614527,False
42,669,669,0.863283,True
43,41,41,0.886722,True
44,93,246,0.479641,False
45,816,816,0.887531,True
46,816,816,0.863129,True
47,816,816,0.917019,True
48,816,816,0.913794,True
49,816,816,0.879784,True
50,605,605,0.885722,True
51,520,277,0.499945,False
52,520,707,0.578724,False
53,520,93,0.807949,False
54,520,484,0.480737,False
55,520,277,0.522659,False
56,453,799,0.522379,False
57,453,453,0.957935,True
58,453,453,0.975928,True
59,620,620,0.895202,True
60,620,620,0.93469,True
61,620,620,0.894141,True
62,216,216,1.000014,True
63,826,826,1.000013,True
64,49,49,0.965476,True
65,300,300,0.904077,True
66,300,300,0.957595,True
67,300,300,0.935997,True
68,301,301,0.951328,True
69,301,301,0.973186,True
70,148,148,0.974407,True
71,71,71,0.887367,True
72,71,71,0.881641,True
73,106,173,0.480351,False
74,106,106,0.960053,True
75,106,106,0.918535,True
76,106,106,0.931364,True
77,106,591,0.523957,False
78,106,157,0.427873,False
79,106,426,0.480211,False
80,106,106,0.79076,True
81,106,106,0.801288,True
82,106,426,0.480636,False
83,637,375,0.57405,False
84,367,509,0.553198,False
85,674,674,0.704722,True
86,674,674,0.877918,True
87,674,674,0.704722,True
88,674,674,0.905222,True
89,674,674,0.770221,True
90,674,674,0.609044,True
91,674,674,0.740765,True
92,155,155,0.900351,True
93,155,155,0.793652,True
94,91,91,0.78169,True
95,91,91,0.714659,True
96,91,91,0.786614,True
97,91,91,0.931352,True
98,91,91,0.774408,True
99,91,91,0.796628,True
100,37,37,0.912424,True
101,37,37,0.999958,True
102,37,37,0.951114,True
103,37,37,0.9059,True
104,344,344,0.763922,True
105,513,513,0.950348,True
106,513,513,0.987375,True
107,806,806,0.892919,True
108,806,806,0.933106,True
109,806,806,0.86308,True
110,806,806,0.928813,True
111,747,721,0.580986,False
112,17,171,0.659254,False
113,17,17,0.873778,True
114,17,720,0.580249,False
115,489,489,0.949021,True
116,489,489,0.915153,True
117,828,828,0.810966,True
118,828,828,0.924085,True
119,828,828,0.906407,True
120,584,584,0.928981,True
121,436,436,0.82656,True
122,436,436,0.785949,True
123,441,441,0.943056,True
124,441,89,0.63956,False
125,441,562,0.45748,False
126,441,558,0.472191,False
127,441,441,0.928901,True
128,441,586,0.60045,False
129,597,597,0.842991,True
130,597,597,0.855033,True
131,600,600,0.84629,True
132,193,193,0.983002,True
133,193,193,0.982496,True
134,193,193,0.982496,True
135,486,486,0.960433,True
136,486,486,0.978764,True
137,678,607,0.567372,False
138,134,369,0.589683,False
139,134,588,0.5803,False
140,134,134,0.959586,True
141,134,588,0.594563,False
142,147,147,0.912442,True
143,147,147,0.977587,True
144,784,784,0.958909,True
145,607,607,0.877218,True
146,607,607,0.891572,True
147,455,237,0.450703,False
148,6,6,0.939466,True
149,6,804,0.620597,False
150,6,6,0.95018,True
151,6,6,0.85397,True
152,6,6,0.913993,True
153,6,6,0.755632,True
154,6,6,0.854515,True
155,6,6,0.999799,True
156,6,6,0.997771,True
157,6,6,0.999679,True
158,6,6,0.988245,True
159,6,6,0.999783,True
160,6,6,0.998854,True
161,6,6,0.897002,True
162,6,6,0.999943,True
163,30,30,0.833474,True
164,339,339,0.577213,True
165,123,497,0.581183,False
166,123,372,0.563045,False
167,123,123,0.961389,True
168,123,629,0.519205,False
169,123,235,0.603957,False
170,645,490,0.810155,False
171,271,271,0.748316,True
172,271,271,0.705552,True
173,271,271,0.703363,True
174,271,271,0.708183,True
175,271,271,0.59867,True
176,271,271,0.693753,True
177,271,271,0.962214,True
178,462,462,0.927964,True
179,462,462,0.927367,True
180,462,462,0.944439,True
181,462,462,0.928764,True
182,462,462,0.968962,True
183,462,462,0.96684,True
