gallery_idx,album_label,nn_distance,album_image_count
0,580,0.642517,3
1,254,0.461926,11
2,619,0.642517,2
3,780,0.52874,3
4,490,0.860479,3
5,707,0.794853,12
6,217,0.528367,4
7,48,0.811944,9
8,546,0.576529,2
9,669,0.549723,4
10,41,0.508008,2
11,93,0.574711,2
12,816,0.499562,6
13,605,0.415253,2
14,520,0.602661,6
15,453,0.522233,4
16,620,0.649964,4
17,216,0.488668,2
18,826,0.413044,2
19,49,0.453464,2
20,300,0.5353,4
21,301,0.381069,3
22,148,0.621169,2
23,71,0.547692,3
24,106,0.494113,11
25,637,0.465337,2
26,367,0.389925,2
27,674,0.664612,8
28,155,0.33697,3
29,91,0.56087,7
30,37,0.664612,5
31,344,0.443025,2
32,513,0.47675,3
33,806,0.530656,5
34,747,0.588028,2
35,17,0.431178,4
36,489,0.423999,3
37,828,0.503076,4
38,584,0.473363,2
39,436,0.498162,3
40,441,0.514622,7
41,597,0.494458,3
42,600,0.586338,2
43,193,0.435165,4
44,486,0.610482,3
45,678,0.605489,2
46,134,0.439109,5
47,147,0.764728,3
48,784,0.649134,2
49,607,0.497921,3
50,455,0.764728,2
51,6,0.439735,16
52,30,0.470053,2
53,339,0.640253,2
54,123,0.49811,6
55,645,0.819649,2
56,271,0.468267,8
57,462,0.378126,13
58,250,0.531996,5
59,82,0.480021,2
60,575,0.418656,2
61,174,0.423007,12
62,376,0.430505,5
63,69,0.49811,2
64,60,0.388229,2
65,447,0.458479,3
66,270,0.673996,4
67,117,0.673996,3
68,212,0.466624,6
69,576,0.445356,29
70,9,0.593533,16
71,719,0.468308,18
72,660,0.544333,16
73,368,0.488244,27
74,371,0.541295,20
75,510,0.455496,2
76,508,0.42668,4
77,189,0.612667,2
78,476,0.580964,5
79,523,0.485464,2
80,565,0.614086,2
81,421,0.592279,8
82,99,0.55334,21
83,567,0.678084,3
84,465,0.473587,7
85,616,0.668886,2
86,739,0.411248,6
87,426,0.668886,8
88,680,0.452381,2
89,526,0.528735,8
90,417,0.558228,2
91,618,0.619802,3
92,351,0.679551,4
93,494,0.681441,9
94,111,0.46381,2
95,102,0.406202,2
96,651,0.561077,2
97,192,0.621169,2
98,527,0.491298,3
99,57,0.590178,2
100,734,0.573757,2
101,86,0.501208,4
102,809,0.759414,3
103,146,0.417184,2
104,799,0.56934,12
105,316,0.535008,6
106,636,0.575352,7
107,159,0.535008,5
108,712,0.662158,6
109,248,0.547111,3
110,393,0.498711,2
111,108,0.530531,2
112,768,0.524167,2
113,449,0.678543,2
114,199,0.463976,5
115,125,0.44422,3
116,182,0.617471,3
117,652,0.759414,3
118,233,0.460019,3
119,851,0.524184,2
120,43,0.543884,21
121,225,0.522455,2
122,188,0.612667,8
123,746,0.530119,2
124,440,0.444815,2
125,323,0.504886,4
126,715,0.547815,3
127,109,0.484508,2
128,139,0.484618,3
129,7,0.573407,17
130,655,0.602661,2
131,337,0.495636,8
132,517,0.440436,2
133,352,0.505809,3
134,152,0.593188,21
135,571,0.641071,12
136,480,0.525125,18
137,201,0.518825,4
