gallery_idx,album_label,nn_distance,album_image_count
0,580,0.524821,3
1,254,0.436882,11
2,619,0.536769,2
3,780,0.385464,3
4,490,0.77666,3
5,707,0.73379,12
6,217,0.427851,4
7,48,0.73379,9
8,546,0.468831,2
9,669,0.399947,4
10,41,0.384378,2
11,93,0.442997,2
12,816,0.487809,6
13,605,0.337829,2
14,520,0.447076,6
15,453,0.404546,4
16,620,0.490106,4
17,216,0.343654,2
18,826,0.410013,2
19,49,0.449422,2
20,300,0.375791,4
21,301,0.373633,3
22,148,0.685304,2
23,71,0.497576,3
24,106,0.586634,11
25,637,0.373801,2
26,367,0.254822,2
27,674,0.741697,8
28,155,0.398084,3
29,91,0.52139,7
30,37,0.741697,5
31,344,0.435226,2
32,513,0.487865,3
33,806,0.432639,5
34,747,0.471715,2
35,17,0.420054,4
36,489,0.49533,3
37,828,0.471715,4
38,584,0.358645,2
39,436,0.473864,3
40,441,0.421359,7
41,597,0.36188,3
42,600,0.542289,2
43,193,0.377829,4
44,486,0.600897,3
45,678,0.549648,2
46,134,0.525088,5
47,147,0.638863,3
48,784,0.576411,2
49,607,0.576411,3
50,455,0.638863,2
51,6,0.386023,16
52,30,0.494734,2
53,339,0.398045,2
54,123,0.570678,6
55,645,0.669048,2
56,271,0.438066,8
57,462,0.455138,13
58,250,0.371076,5
59,82,0.438663,2
60,575,0.357985,2
61,174,0.382125,12
62,376,0.528785,5
63,69,0.570678,2
64,60,0.315051,2
65,447,0.582516,3
66,270,0.693104,4
67,117,0.693104,3
68,212,0.475638,6
69,576,0.388124,29
70,9,0.473037,16
71,719,0.472978,18
72,660,0.485658,16
73,368,0.321041,27
74,371,0.436652,20
75,510,0.440855,2
76,508,0.387065,4
77,189,0.485658,2
78,476,0.469586,5
79,523,0.460976,2
80,565,0.494554,2
81,421,0.412149,8
82,99,0.537374,21
83,567,0.502121,3
84,465,0.509878,7
85,616,0.656976,2
86,739,0.493461,6
87,426,0.656976,8
88,680,0.428645,2
89,526,0.621798,8
90,417,0.356829,2
91,618,0.688107,3
92,351,0.524792,4
93,494,0.388082,9
94,111,0.377829,2
95,102,0.373098,2
96,651,0.504774,2
97,192,0.688107,2
98,527,0.447571,3
99,57,0.675711,2
100,734,0.675711,2
101,86,0.548539,4
102,809,0.64421,3
103,146,0.427131,2
104,799,0.544539,12
105,316,0.648879,6
106,636,0.610267,7
107,159,0.648879,5
108,712,0.610267,6
109,248,0.448013,3
110,393,0.592683,2
111,108,0.499265,2
112,768,0.446019,2
113,449,0.561662,2
114,199,0.434088,5
115,125,0.517586,3
116,182,0.575673,3
117,652,0.64421,3
118,233,0.478145,3
119,851,0.477429,2
120,43,0.520031,21
121,225,0.53059,2
122,188,0.444189,8
123,746,0.475499,2
124,440,0.488767,2
125,323,0.374126,4
126,715,0.461622,3
127,109,0.43546,2
128,139,0.40503,3
129,7,0.378466,17
130,655,0.611341,2
131,337,0.372683,8
132,517,0.340861,2
133,352,0.383571,3
134,152,0.54567,21
135,571,0.571164,12
136,480,0.404206,18
137,201,0.330428,4
138,112,0.399427,2
139,738,0.485276,21
140,356,0.416123,2
141,617,0.40082,2
142,435,0.575889,6
143,805,0.501374,2
144,434,0.492648,2
145,305,0.522281,7
146,284,0.500235,14
147,540,0.544035,2
148,399,0.614481,7
149,463,0.645273,12
