query_idx,query_label,top1_label,top1_score,correct
0,580,707,0.594375,False
1,580,587,0.44133,False
2,254,254,0.952738,True
3,254,254,0.943747,True
4,254,254,0.939002,True
5,254,254,0.954547,True
6,254,254,0.94608,True
7,254,254,0.955816,True
8,254,254,0.935389,True
9,254,254,0.925861,True
10,254,254,0.933361,True
11,254,254,0.937234,True
12,619,3,0.484596,False
13,780,723,0.487936,False
14,780,780,0.926289,True
15,490,490,0.870931,True
16,490,151,0.45219,False
17,707,93,0.924131,False
18,707,55,0.512485,False
19,707,166,0.447677,False
20,707,707,0.598319,True
21,707,754,0.601163,False
22,707,55,0.442127,False
23,707,166,0.440549,False
24,707,754,0.495424,False
25,707,48,0.620104,False
26,707,93,0.416636,False
27,707,707,0.585831,True
28,217,217,0.794919,True
29,217,217,0.965935,True
30,217,217,0.943608,True
31,48,166,0.402272,False
32,48,529,0.38198,False
33,48,166,0.437172,False
34,48,707,0.795337,False
35,48,227,0.386782,False
36,48,619,0.394463,False
37,48,48,0.65455,True
38,48,651,0.421724,False
39,546,546,0.716984,True
40,669,669,0.950117,True
41,669,433,0.42409,False
42,669,669,0.879021,True
43,41,41,0.933906,True
44,93,192,0.424455,False
45,816,816,0.930766,True
46,816,816,0.917597,True
47,816,816,0.959666,True
48,816,816,0.93739,True
49,816,816,0.94962,True
50,605,605,0.880832,True
51,520,713,0.399887,False
52,520,48,0.581172,False
53,520,93,0.904024,False
54,520,411,0.424283,False
55,520,411,0.480021,False
56,453,284,0.502026,False
57,453,453,0.841505,True
58,453,453,0.781329,True
59,620,620,0.94266,True
60,620,620,0.95659,True
61,620,620,0.941473,True
62,216,216,1.000044,True
63,826,826,0.999959,True
64,49,49,0.958827,True
65,300,300,0.927894,True
66,300,300,0.952114,True
67,300,300,0.930584,True
68,301,301,0.96354,True
69,301,301,0.961185,True
70,148,148,0.970754,True
71,71,71,0.925974,True
72,71,71,0.915897,True
73,106,700,0.497769,False
74,106,106,0.96048,True
75,106,106,0.946259,True
76,106,106,0.94291,True
77,106,842,0.505699,False
78,106,749,0.431743,False
79,106,246,0.450465,False
80,106,106,0.673984,True
81,106,106,0.70318,True
82,106,246,0.445886,False
83,637,781,0.629873,False
84,367,770,0.364327,False
85,674,674,0.887452,True
86,674,674,0.913551,True
87,674,674,0.887452,True
88,674,674,0.962695,True
89,674,674,0.87758,True
90,674,674,0.869207,True
91,674,674,0.90325,True
92,155,155,0.953266,True
93,155,155,0.708041,True
94,91,91,0.83005,True
95,91,91,0.779198,True
96,91,91,0.857761,True
97,91,91,0.905216,True
98,91,91,0.876254,True
99,91,91,0.813014,True
100,37,37,0.935955,True
101,37,37,0.999999,True
102,37,37,0.947557,True
103,37,37,0.963367,True
104,344,344,0.587961,True
105,513,513,0.944924,True
106,513,513,0.980035,True
107,806,806,0.935431,True
108,806,806,0.956396,True
109,806,806,0.934271,True
110,806,806,0.954931,True
111,747,455,0.657102,False
112,17,106,0.557904,False
113,17,17,0.874829,True
114,17,455,0.486437,False
115,489,489,0.953518,True
116,489,489,0.908122,True
117,828,828,0.895462,True
118,828,828,0.958672,True
119,828,828,0.951376,True
120,584,584,0.841962,True
121,436,436,0.568868,True
122,436,436,0.616866,True
123,441,441,0.913784,True
124,441,47,0.456829,False
125,441,603,0.406766,False
126,441,66,0.433607,False
127,441,441,0.93513,True
128,441,24,0.585508,False
129,597,597,0.921877,True
130,597,597,0.918783,True
131,600,600,0.922275,True
132,193,193,0.986216,True
133,193,193,0.989252,True
134,193,193,0.989252,True
135,486,486,0.960162,True
136,486,486,0.984833,True
137,678,486,0.421595,False
138,134,777,0.386882,False
139,134,445,0.408802,False
140,134,134,0.960396,True
141,134,486,0.436952,False
142,147,147,0.914774,True
143,147,147,0.982441,True
144,784,784,0.963006,True
145,607,607,0.829203,True
146,607,607,0.81741,True
147,455,499,0.534897,False
148,6,6,0.943769,True
149,6,6,0.620339,True
150,6,6,0.908383,True
151,6,6,0.831633,True
152,6,6,0.915825,True
153,6,6,0.725933,True
154,6,6,0.822265,True
155,6,6,0.999616,True
156,6,6,0.99634,True
157,6,6,0.999604,True
158,6,6,0.980023,True
159,6,6,0.999643,True
160,6,6,0.997904,True
161,6,6,0.863571,True
162,6,6,1.000001,True
163,30,30,0.891299,True
164,339,339,0.531105,True
165,123,117,0.671375,False
166,123,223,0.58938,False
167,123,123,0.92697,True
168,123,223,0.574006,False
169,123,223,0.472416,False
170,645,645,0.875261,True
171,271,271,0.613943,True
172,271,271,0.742545,True
173,271,271,0.58835,True
174,271,271,0.588037,True
175,271,271,0.563872,True
176,271,271,0.719168,True
177,271,271,0.917232,True
178,462,462,0.92907,True
179,462,462,0.928476,True
180,462,462,0.961693,True
181,462,462,0.972247,True
182,462,462,0.973791,True
183,462,462,0.980897,True
184,462,462,0.885021,True
185,462,462,0.931575,True
186,462,462,0.923667,True
187,462,462,0.91359,True
188,462,462,0.9329,True
189,462,462,0.928887,True
190,250,250,0.895539,True
191,250,250,0.938066,True
192,250,250,0.884796,True
193,250,250,0.925287,True
194,82,82,0.945319,True
195,575,575,0.937366,True
196,174,174,0.796852,True
197,174,174,0.954249,True
198,174,174,0.971757,True
199,174,174,0.971732,True
200,174,174,0.908194,True
201,174,174,0.953679,True
202,174,174,0.94795,True
203,174,174,0.955887,True
204,174,174,0.976835,True
205,174,174,0.941294,True
206,174,174,0.943982,True
207,376,376,0.944971,True
208,376,376,0.955662,True
209,376,376,0.999981,True
210,376,376,0.999981,True
211,69,69,1.000036,True
212,60,60,0.851896,True
213,447,447,0.973578,True
214,447,447,0.973578,True
215,270,307,0.570423,False
216,270,117,0.944948,False
217,270,117,0.826768,False
218,117,117,0.969694,True
219,117,117,0.951787,True
220,212,212,0.98411,True
221,212,212,0.951281,True
222,212,212,0.950981,True
223,212,212,0.944866,True
224,212,212,0.965494,True
225,576,576,0.475439,True
226,576,576,0.789423,True
227,576,576,0.814848,True
228,576,576,0.83791,True
229,576,576,0.794461,True
230,576,576,0.801077,True
231,576,576,0.809224,True
232,576,576,0.814848,True
233,576,576,0.835075,True
234,576,576,0.8344,True
235,576,576,0.839057,True
236,576,576,0.801692,True
237,576,576,0.840052,True
238,576,576,0.800128,True
239,576,576,0.83526,True
240,576,576,0.935423,True
241,576,576,0.802471,True
242,576,576,0.799407,True
243,576,576,0.792559,True
244,576,576,0.810227,True
245,576,576,0.793884,True
246,576,576,0.814848,True
247,576,576,0.935423,True
248,576,576,0.789825,True
249,576,576,0.847528,True
250,576,576,0.665583,True
251,576,576,0.827441,True
252,576,576,0.816351,True
253,9,9,0.951192,True
254,9,9,0.955892,True
255,9,455,0.461855,False
256,9,9,0.917476,True
257,9,9,0.926933,True
258,9,713,0.385659,False
259,9,9,0.937611,True
260,9,9,0.955797,True
261,9,9,0.929614,True
262,9,9,0.947709,True
263,9,283,0.327334,False
264,9,9,0.962544,True
265,9,9,0.916123,True
266,9,9,0.887404,True
267,9,9,0.907427,True
268,719,719,0.879846,True
269,719,719,0.880616,True
270,719,719,0.868366,True
271,719,719,0.910174,True
272,719,719,0.878426,True
273,719,719,0.888601,True
274,719,719,0.90937,True
275,719,719,0.886196,True
276,719,719,0.867597,True
277,719,719,0.91836,True
278,719,719,0.885688,True
279,719,719,0.899061,True
280,719,719,0.897021,True
281,719,719,0.905489,True
282,719,719,0.906921,True
283,719,719,0.908531,True
284,719,719,0.905465,True
285,660,660,0.98001,True
286,660,660,0.847961,True
287,660,660,0.964202,True
288,660,660,0.97211,True
289,660,660,0.97211,True
290,660,660,0.967236,True
291,660,660,0.972136,True
292,660,660,0.948139,True
293,660,660,0.958148,True
294,660,660,0.973625,True
295,660,660,0.973224,True
296,660,660,0.95453,True
297,660,660,0.946621,True
298,660,660,0.907069,True
299,660,660,0.943636,True
300,368,368,0.91476,True
301,368,368,0.836763,True
302,368,368,0.965422,True
303,368,368,0.89044,True
304,368,368,0.887303,True
305,368,368,0.919774,True
306,368,368,0.905681,True
307,368,368,0.901308,True
308,368,99,0.979333,False
309,368,368,0.860562,True
310,368,368,0.848805,True
311,368,368,0.83479,True
312,368,368,0.86433,True
313,368,368,0.902317,True
314,368,368,0.859821,True
315,368,368,0.839195,True
316,368,368,0.86154,True
317,368,368,0.936003,True
318,368,368,0.896265,True
319,368,368,0.917306,True
320,368,368,0.910829,True
321,368,368,0.956306,True
322,368,368,0.901308,True
323,368,368,0.853137,True
324,368,368,0.899355,True
325,368,368,0.858359,True
326,371,371,0.80921,True
327,371,371,0.886499,True
328,371,371,0.80813,True
329,371,371,0.988237,True
330,371,371,0.930448,True
331,371,371,0.864876,True
332,371,371,0.841036,True
333,371,371,0.854499,True
334,371,371,0.863227,True
335,371,371,0.893187,True
336,371,371,0.868182,True
337,371,371,0.925777,True
