gallery_idx,album_label,nn_distance,album_image_count
0,580,0.474255,3
1,254,0.410449,11
2,619,0.450676,2
3,780,0.398966,3
4,490,0.649975,3
5,707,0.742167,12
6,217,0.308106,4
7,48,0.742167,9
8,546,0.445347,2
9,669,0.35112,4
10,41,0.330491,2
11,93,0.45076,2
12,816,0.36158,6
13,605,0.343166,2
14,520,0.428722,6
15,453,0.424162,4
16,620,0.492096,4
17,216,0.285843,2
18,826,0.331305,2
19,49,0.271435,2
20,300,0.345658,4
21,301,0.384729,3
22,148,0.243931,2
23,71,0.357642,3
24,106,0.301779,11
25,637,0.398774,2
26,367,0.366961,2
27,674,0.388919,8
28,155,0.275839,3
29,91,0.421778,7
30,37,0.353646,5
31,344,0.377418,2
32,513,0.345919,3
33,806,0.414123,5
34,747,0.43274,2
35,17,0.355713,4
36,489,0.304202,3
37,828,0.365494,4
38,584,0.390446,2
39,436,0.382738,3
40,441,0.423973,7
41,597,0.316194,3
42,600,0.34394,2
43,193,0.291443,4
44,486,0.462306,3
45,678,0.430999,2
46,134,0.31895,5
47,147,0.407036,3
48,784,0.394782,2
49,607,0.287415,3
50,455,0.407337,2
51,6,0.299063,16
52,30,0.317006,2
53,339,0.486649,2
54,123,0.429228,6
55,645,0.638142,2
56,271,0.238201,8
57,462,0.347177,13
58,250,0.370167,5
59,82,0.332222,2
60,575,0.280261,2
61,174,0.358431,12
62,376,0.320073,5
63,69,0.315861,2
64,60,0.391612,2
65,447,0.308131,3
66,270,0.500066,4
67,117,0.500066,3
68,212,0.326442,6
69,576,0.300206,29
70,9,0.303003,16
71,719,0.345786,18
72,660,0.39176,16
73,368,0.375133,27
74,371,0.42487,20
75,510,0.363231,2
76,508,0.326875,4
77,189,0.334101,2
78,476,0.414212,5
79,523,0.336485,2
80,565,0.321404,2
81,421,0.278136,8
82,99,0.338908,21
83,567,0.366336,3
84,465,0.312155,7
85,616,0.342554,2
86,739,0.258355,6
87,426,0.355949,8
88,680,0.312376,2
89,526,0.380116,8
90,417,0.450387,2
91,618,0.368632,3
92,351,0.414349,4
93,494,0.28376,9
94,111,0.309026,2
95,102,0.357726,2
96,651,0.340629,2
97,192,0.363397,2
98,527,0.398608,3
99,57,0.44781,2
100,734,0.295042,2
101,86,0.356952,4
102,809,0.465621,3
103,146,0.360716,2
104,799,0.342102,12
105,316,0.338782,6
106,636,0.45981,7
107,159,0.321208,5
108,712,0.45981,6
109,248,0.421447,3
110,393,0.380143,2
111,108,0.34999,2
112,768,0.43247,2
113,449,0.297093,2
114,199,0.393926,5
115,125,0.301704,3
116,182,0.479661,3
117,652,0.465621,3
118,233,0.466278,3
119,851,0.259204,2
120,43,0.334166,21
121,225,0.310516,2
122,188,0.344796,8
123,746,0.317444,2
124,440,0.342695,2
125,323,0.423881,4
126,715,0.494807,3
127,109,0.263452,2
128,139,0.276586,3
129,7,0.322897,17
130,655,0.479661,2
131,337,0.410176,8
132,517,0.312672,2
133,352,0.377855,3
134,152,0.375421,21
135,571,0.388788,12
136,480,0.304849,18
137,201,0.330814,4
138,112,0.334629,2
139,738,0.299187,21
140,356,0.328018,2
141,617,0.359308,2
142,435,0.382541,6
143,805,0.414212,2
144,434,0.418464,2
145,305,0.381844,7
146,284,0.354268,14
147,540,0.431917,2
148,399,0.427179,7
149,463,0.309035,12
150,118,0.294122,2
151,306,0.317084,5
152,726,0.282912,10
153,205,0.391277,12
154,97,0.378004,4
155,247,0.375133,2
156,158,0.367591,5
157,446,0.341328,9
158,285,0.391277,2
159,668,0.388835,14
160,280,0.378004,20
161,613,0.310708,12
162,548,0.29555,7
163,664,0.341156,2
164,852,0.899905,6
165,703,0.899905,3
166,731,0.369793,5
167,197,0.353222,3
168,694,0.321314,3
169,609,0.377065,2
170,348,0.406926,41
171,35,0.300702,2
172,641,0.340679,18
173,128,0.366544,30
174,689,0.433115,7
175,357,0.330511,16
