query_idx,query_label,top1_label,top1_score,correct
0,580,645,0.461103,False
1,580,282,0.402925,False
2,254,254,0.833941,True
3,254,254,0.72872,True
4,254,254,0.803952,True
5,254,254,0.789928,True
6,254,254,0.836179,True
7,254,254,0.718267,True
8,254,254,0.77234,True
9,254,254,0.796954,True
10,254,254,0.696024,True
11,254,254,0.78864,True
12,619,20,0.421036,False
13,780,664,0.302947,False
14,780,780,0.852579,True
15,490,490,0.878924,True
16,490,645,0.453155,False
17,707,93,0.837359,False
18,707,514,0.349907,False
19,707,645,0.594424,False
20,707,707,0.543763,True
21,707,349,0.477759,False
22,707,366,0.374383,False
23,707,754,0.469193,False
24,707,514,0.341862,False
25,707,707,0.551163,True
26,707,754,0.586521,False
27,707,349,0.503497,False
28,217,217,0.560371,True
29,217,217,0.90389,True
30,217,217,0.882161,True
31,48,349,0.563954,False
32,48,610,0.297739,False
33,48,754,0.530875,False
34,48,707,0.82383,False
35,48,679,0.292067,False
36,48,282,0.351359,False
37,48,707,0.569722,False
38,48,233,0.344112,False
39,546,546,0.591485,True
40,669,669,0.871158,True
41,669,674,0.297492,False
42,669,669,0.80239,True
43,41,41,0.857484,True
44,93,455,0.357489,False
45,816,816,0.819026,True
46,816,816,0.649855,True
47,816,816,0.809868,True
48,816,816,0.750008,True
49,816,816,0.776755,True
50,605,605,0.800378,True
51,520,16,0.273593,False
52,520,48,0.588686,False
53,520,93,0.728435,False
54,520,152,0.329228,False
55,520,568,0.30618,False
56,453,453,0.338804,True
57,453,453,0.909267,True
58,453,453,0.887973,True
59,620,620,0.718656,True
60,620,620,0.727918,True
61,620,620,0.701304,True
62,216,216,1.000015,True
63,826,826,0.999984,True
64,49,49,0.901657,True
65,300,300,0.844017,True
66,300,300,0.909209,True
67,300,300,0.885823,True
68,301,301,0.920941,True
69,301,301,0.907282,True
70,148,148,0.889672,True
71,71,71,0.807219,True
72,71,71,0.740353,True
73,106,708,0.329649,False
74,106,106,0.878521,True
75,106,106,0.805937,True
76,106,106,0.849267,True
77,106,764,0.341041,False
78,106,520,0.302021,False
79,106,287,0.317348,False
80,106,106,0.527903,True
81,106,171,0.319575,False
82,106,287,0.325088,False
83,637,339,0.453309,False
84,367,352,0.300755,False
85,674,674,0.765681,True
86,674,674,0.832358,True
87,674,674,0.765681,True
88,674,674,0.825588,True
89,674,674,0.778435,True
90,674,674,0.699493,True
91,674,674,0.776284,True
92,155,155,0.898378,True
93,155,155,0.795019,True
94,91,91,0.599457,True
95,91,91,0.532251,True
96,91,91,0.647528,True
97,91,91,0.8165,True
98,91,91,0.656884,True
99,91,91,0.692475,True
100,37,37,0.850633,True
101,37,37,0.999979,True
102,37,37,0.909807,True
103,37,37,0.886786,True
104,344,344,0.527334,True
105,513,513,0.902702,True
106,513,513,0.942079,True
107,806,806,0.851023,True
108,806,806,0.918041,True
109,806,806,0.862282,True
110,806,806,0.91647,True
111,747,24,0.429328,False
112,17,46,0.415672,False
113,17,17,0.751408,True
114,17,474,0.432864,False
115,489,489,0.939205,True
116,489,489,0.872319,True
117,828,828,0.739908,True
118,828,828,0.830686,True
119,828,828,0.870455,True
120,584,584,0.83923,True
121,436,436,0.651685,True
122,436,436,0.665887,True
123,441,441,0.828938,True
124,441,515,0.352169,False
125,441,597,0.3053,False
126,441,558,0.42766,False
127,441,441,0.894945,True
128,441,406,0.40936,False
129,597,597,0.637796,True
130,597,597,0.67521,True
131,600,600,0.752383,True
132,193,193,0.913136,True
133,193,193,0.879015,True
134,193,193,0.879015,True
135,486,486,0.902096,True
136,486,486,0.946312,True
137,678,810,0.391565,False
138,134,369,0.464281,False
139,134,282,0.516905,False
140,134,134,0.816754,True
141,134,282,0.488149,False
142,147,147,0.79903,True
143,147,147,0.942265,True
144,784,784,0.927153,True
145,607,607,0.658396,True
146,607,607,0.64081,True
147,455,736,0.422,False
148,6,6,0.840489,True
149,6,72,0.413336,False
150,6,6,0.875167,True
151,6,6,0.454447,True
152,6,6,0.732563,True
153,6,6,0.565642,True
154,6,6,0.562091,True
155,6,6,0.998426,True
156,6,6,0.989001,True
157,6,6,0.998064,True
158,6,6,0.948699,True
159,6,6,0.998989,True
160,6,6,0.996555,True
161,6,6,0.766561,True
162,6,6,0.999969,True
163,30,30,0.735077,True
164,339,339,0.480317,True
165,123,222,0.486309,False
166,123,391,0.386814,False
167,123,123,0.848057,True
168,123,223,0.324457,False
169,123,629,0.344581,False
170,645,645,0.741051,True
171,271,271,0.49404,True
172,271,271,0.501583,True
173,271,271,0.496008,True
174,271,271,0.493625,True
175,271,117,0.395697,False
176,271,271,0.482316,True
177,271,271,0.796799,True
178,462,462,0.781309,True
179,462,462,0.781714,True
180,462,462,0.887522,True
