eval_context,model_id,recall_at_1,recall_at_5,map_at_5,mrr,num_gallery,num_queries,verdict
test-split,B2c-dinov2-supcon,0.8794916739702016,0.9053461875547765,0.8903337715454279,0.8924696073373687,855,4564,fine-tuning likely needed
test-split,,0.8724966622162884,0.894971072541166,0.8829216733422341,0.8841051492859899,855,4494,fine-tuning likely needed
test-split,A4-sscd,0.8720420683610868,0.8983347940403155,0.8835597429155712,0.8851755414734747,855,4564,fine-tuning likely needed
test-split,A1-dinov2-cls,0.8659070990359334,0.9031551270815075,0.8810436751387671,0.883237569622571,855,4564,fine-tuning likely needed
test-split,B2-dinov2-supcon,0.8659070990359334,0.9011831726555652,0.8805287759275489,0.8828401602541717,855,4564,fine-tuning likely needed
test-split,A2-openclip,0.8610867659947414,0.929666958808063,0.8886393514461,0.8926061908073302,855,4564,fine-tuning likely needed
test-split,B3-sscd-supcon,0.8604294478527608,0.894829097283085,0.8751095530236634,0.8772362412946413,855,4564,fine-tuning likely needed
test-split,A1-dinov2-cls-518,0.8588957055214724,0.8998685363716039,0.8762269938650308,0.8796900740754067,855,4564,fine-tuning likely needed
test-split,A3-featureprint,0.8562664329535495,0.9184925503943909,0.8813467718375694,0.8848589763390234,855,4564,fine-tuning likely needed
test-split,B1-mobilenet_v3_small-supcon,0.8470639789658194,0.8840929009640666,0.8614190768331872,0.8647848827832866,855,4564,fine-tuning likely needed
test-split,A1-dinov2-gem,0.8347940403155127,0.8871603856266433,0.8566096990943617,0.8594899750616264,855,4564,fine-tuning likely needed
test-split,A1-dinov2-gem-518,0.8275635407537248,0.8819018404907976,0.8485210341805433,0.8519747871022859,855,4564,fine-tuning likely needed
phone-complete,A4-sscd,0.7783251231527094,0.7980295566502463,0.7873563218390803,0.7914830740552745,981,203,fine-tuning required
phone-complete,A1-dinov2-cls,0.6502463054187192,0.7389162561576355,0.6898193760262727,0.6954153696944014,981,203,fine-tuning required
phone-complete,C2-superpoint-lightglue,0.6206896551724138,0.6896551724137931,0.6468801313628899,0.6581375852187745,981,203,fine-tuning required
phone-complete,A2-openclip,0.6009852216748769,0.729064039408867,0.6472085385878489,0.661930265441823,981,203,fine-tuning required
phone-complete,A1-dinov2-gem,0.4236453201970443,0.5615763546798029,0.47438423645320205,0.48710402730829544,981,203,fine-tuning required
phone-sample,A4-sscd,0.88,0.96,0.9083333333333333,0.9090468384074941,870,50,fine-tuning likely needed
phone-sample,A1-dinov2-cls,0.5,0.6,0.5416666666666667,0.5533827398362816,870,50,fine-tuning required
phone-sample,A2-openclip,0.42,0.56,0.4766666666666666,0.49501239011243925,870,50,fine-tuning required
phone-sample,A1-dinov2-gem,0.36,0.5,0.409,0.42673135648579746,870,50,fine-tuning required
